Full Name,Wikidata code,Gender,DoB,Age,Old_Age
Andrey Kovatchev,Q4759190,nan,,,51
Ilhan Kyuchyuk,Q17266806,nan,,,33
Svetoslav Hristov Malinov,Q557071,nan,,,51
Eva Maydell,Q17266811,nan,,,33
Iskra Mihaylova,Q17143283,nan,,,61
Momchil Nekov,Q17266745,nan,,,4
Andrey Novakov,Q18575732,nan,,,30
Georgi Pirinski,Q1509254,nan,,,70
Emil Radev,Q17143079,nan,,,0
Sergei Stanishev,Q202117,nan,,,52
Vladimir Urutchev,Q121785,nan,,,64
Biljana Borzan,Q11074254,nan,,,47
Ivan Jakovčić,Q3109021,nan,,,61
Ivana Maletić,Q13107505,nan,,,45
Marijana Petir,Q982428,nan,,,0
Tonino Picula,Q2617559,nan,,,57
Jozo Radoš,Q3441723,nan,,,62
Davor Škrlec,Q17315720,nan,,,56
Dubravka Šuica,Q299667,nan,,,61
Ivica Tolić,Q27600131,nan,,,0
Ruža Tomašić,Q1260118,nan,,,60
Željana Zovko,Q27666246,nan,,,49
Lefteris Christoforou,Q16571128,nan,,,0
Takis Hadjigeorgiou,Q545492,nan,,,62
Costas Mavrides,Q17265935,nan,,,56
Demetris Papadakis,Q17315553,nan,,,0
Neoklis Sylikiotis,Q16330441,nan,,,60
Eleni Theocharous,Q468077,nan,,,65
Dita Charanzová,Q15870693,nan,,,43
Martina Dlabajová,Q15870687,nan,,,42
Petr Ježek,Q15817642,nan,,,53
Jan Keller,Q3491839,nan,,,5
Jaromír Kohlíček,Q1399081,nan,,,66
Kateřina Konečná,Q12028942,nan,,,38
Jiří Maštálka,Q1399066,nan,,,63
Luděk Niedermayer,Q15742179,nan,,,53
Jiří Payne,Q12025429,nan,,,0
Pavel Poc,Q535283,nan,,,0
Miroslav Poche,Q15730943,nan,,,40
Stanislav Polčák,Q12055995,nan,,,39
Jiří Pospíšil,Q962333,nan,,,0
Olga Sehnalová,Q11797891,nan,,,0
Michaela Šojdrová,Q12036669,nan,,,55
Jaromír Štětina,Q3511688,nan,,,75
Pavel Svoboda,Q7155774,nan,,,56
Pavel Telička,Q1357170,nan,,,53
Evžen Tošenovský,Q3510471,nan,,,63
Jan Zahradil,Q159490,nan,,,0
Tomáš Zdechovský,Q12059351,nan,,,39
Margrete Auken,Q261120,nan,,,74
Bendt Bendtsen,Q816805,nan,,,65
Ole Christensen,Q1357367,nan,,,63
Jørn Dohrmann,Q12320916,nan,,,50
Rina Ronja Kari,Q12333503,nan,,,34
Rikke-Louise Karlsson,Q17142887,nan,,,53
Jeppe Kofod,Q1799046,nan,,,45
Morten Løkkegaard,Q546215,nan,,,54
Morten Messerschmidt,Q1338185,nan,,,38
Morten Helveg Petersen,Q12327679,nan,,,52
Jens Rohde,Q546246,nan,,,48
Christel Schaldemose,Q455548,nan,,,51
Anders Primdahl Vistisen,Q12301466,nan,,,31
Igor Gräzin,Q5993313,nan,,,66
Tunne Kelam,Q1345946,nan,,,82
Ivari Padar,Q1398025,nan,,,54
Urmas Paet,Q58100,nan,,,44
Indrek Tarand,Q930324,nan,,,55
Yana Toom,Q12379326,nan,,,52
Jussi Halla-Aho,Q3040284,nan,,,47
Heidi Hautala,Q256001,nan,,,63
Liisa Jaakonsaari,Q460600,nan,,,73
Anneli Jäätteenmäki,Q229517,nan,,,64
Elsi Katainen,Q11857612,nan,,,52
Miapetra Kumpula-Natri,Q5413481,nan,,,46
Merja Kyllönen,Q460676,nan,,,42
Sirpa Pietikäinen,Q456901,nan,,,59
Pirkko Ruohonen-Lerner,Q7198040,nan,,,62
Petri Sarvamaa,Q918818,nan,,,58
Nils Torvalds,Q949046,nan,,,73
Mirja Vehkaperä,Q11882986,nan,,,42
Henna Virkkunen,Q2983767,nan,,,46
Michèle Alliot-Marie,Q58130,nan,,,0
Eric Andrieu,Q287849,nan,,,0
Marie-Christine Arnautu,Q3291630,nan,,,66
Jean Arthuis,Q528462,nan,,,74
Guillaume Balas,Q16916373,nan,,,0
Nicolas Bay,Q3340073,nan,,,41
Pervenche Berès,Q240740,nan,,,62
Joëlle Bergeron,Q17174767,nan,,,69
Dominique Bilde,Q17174898,nan,,,65
Marie-Christine Boutonnet,Q17175186,nan,,,70
José Bové,Q5819,nan,,,65
Steeve Briois,Q3497810,nan,,,46
Alain Cadec,Q1404258,nan,,,65
Jean-Marie Cavada,Q167019,nan,,,79
Aymeric Chauprade,Q793139,nan,,,50
Jacques Colombier,Q6120507,nan,,,0
Thierry Cornillet,Q3524195,nan,,,67
Arnaud Danjean,Q444504,nan,,,48
Michel Dantin,Q546722,nan,,,59
Rachida Dati,Q27182,nan,,,53
Angélique Delahaye,Q17128240,nan,,,0
Karima Delli,Q433637,nan,,,40
Geoffroy Didier,Q3101123,nan,,,0
Mireille DOrnano,Q17171641,nan,,,0
Pascal Durand,Q3367388,nan,,,58
Karine Gloanec Maurin,Q15963771,nan,,,0
Sylvie Goddyn,Q16948142,nan,,,54
Bruno Gollnisch,Q463260,nan,,,69
Nathalie Griesbeck,Q461446,nan,,,62
Françoise Grossetête,Q461433,nan,,,72
Sylvie Guillaume,Q439991,nan,,,56
Brice Hortefeux,Q502972,nan,,,60
Yannick Jadot,Q441791,nan,,,51
Jean-François Jalkh,Q3165682,nan,,,61
France Jamet,Q5478286,nan,,,57
Eva Joly,Q464116,nan,,,75
Marc Joulaud,Q3288141,nan,,,51
Philippe Juvin,Q445705,nan,,,55
Patricia Lalonde,Q30105230,nan,,,0
Alain Lamassoure,Q777954,nan,,,75
Jérôme Lavrilleux,Q16948153,nan,,,0
Patrick Le Hyaric,Q981486,nan,,,62
Jean-Marie Le Pen,Q7177,nan,,,90
Gilles Lebreton,Q16549460,nan,,,60
Christelle Lechevalier,Q30987342,nan,,,50
Philippe Loiseau,Q7184853,nan,,,61
Louis-Joseph Manscour,Q3260652,nan,,,74
Dominique Martin,Q17349494,nan,,,0
Edouard Martin,Q3579956,nan,,,0
Emmanuel Maurel,Q3052795,nan,,,45
Joëlle Mélin,Q17155333,nan,,,69
Bernard Monot,Q16980202,nan,,,56
Sophie Montel,Q7563041,nan,,,49
Nadine Morano,Q3334944,nan,,,55
Elisabeth Morin-Chartier,Q439986,nan,,,71
Renaud Muselier,Q3424934,nan,,,59
Younous Omarjee,Q2542770,nan,,,49
Gilles Pargneaux,Q546370,nan,,,62
Vincent Peillon,Q960643,nan,,,58
Florian Philippot,Q3074223,nan,,,37
Maurice Ponga,Q544880,nan,,,71
Franck Proust,Q1442460,nan,,,55
Christine Revault DAllonnes Bonnefoy,Q16354684,nan,,,0
Dominique Riquet,Q1238315,nan,,,72
Michèle Rivasi,Q442810,nan,,,66
Robert Rochefort,Q546285,nan,,,63
Virginie Rozière,Q15696910,nan,,,42
Tokia Saïfi,Q461385,nan,,,59
Anne Sander,Q4768732,nan,,,0
Jean-Luc Schaffhauser,Q16963365,nan,,,63
Isabelle Thomas,Q3155046,nan,,,0
Mylène Troszczynski,Q16963316,nan,,,46
Marie-Christine Vergiat,Q439694,nan,,,62
Marie-Pierre Vieu,Q30341962,nan,,,0
Reimer Böge,Q68044,nan,,,67
Elmar Brok,Q71674,nan,,,72
Klaus Buchner,Q105761,nan,,,0
Udo Bullmann,Q449080,nan,,,62
Reinhard Bütikofer,Q31236,nan,,,66
Daniel Caspary,Q77761,nan,,,42
Birgit Collin-Langen,Q511181,nan,,,62
Michael Cramer,Q69674,nan,,,69
Albert Dess,Q85528,nan,,,71
Michael Detjen,Q47271098,nan,,,0
Stefan Eck,Q2336011,nan,,,4
Christian Ehler,Q74162,nan,,,0
Cornelia Ernst,Q91526,nan,,,62
Ismail Ertug,Q75194,nan,,,43
Markus Ferber,Q85676,nan,,,54
Knut Fleckenstein,Q104870,nan,,,65
Karl-Heinz Florenz,Q78215,nan,,,71
Romeo Franz,Q2165078,nan,,,0
Michael Gahler,Q85537,nan,,,58
Evelyne Gebhardt,Q74191,nan,,,65
Stefan Gehrold,Q56751537,nan,,,0
Jens Geier,Q95758,nan,,,57
Arne Gericke,Q692424,nan,,,54
Sven Giegold,Q84687,nan,,,49
Jens Gieseke,Q1626720,nan,,,0
Ingeborg Grässle,Q85551,nan,,,58
Thomas Händel,Q96605,nan,,,65
Rebecca Harms,Q62366,nan,,,62
Martin Häusling,Q95895,nan,,,58
Hans-Olaf Henkel,Q105564,nan,,,79
Maria Heubuch,Q17117404,nan,,,60
Nadja Hirsch,Q120859,nan,,,40
Iris Hoffmann,Q1475495,nan,,,55
Monika Hohlmeier,Q78415,nan,,,56
Peter Jahr,Q88213,nan,,,59
Petra Kammerevert,Q92274,nan,,,52
Sylvia-Yvonne Kaufmann,Q74165,nan,,,64
Ska Keller,Q71528,nan,,,37
Wolf Klinz,Q85356,nan,,,77
Dieter-Lebrecht Koch,Q78207,nan,,,66
Arndt Kohn,Q28869827,nan,,,38
Bernd Kölmel,Q16999699,nan,,,0
Dietmar Köster,Q16999729,nan,,,62
Constanze Krehl,Q71660,nan,,,62
Werner Kuhn,Q119366,nan,,,0
Bernd Lange,Q65437,nan,,,63
Werner Langen,Q85545,nan,,,69
Jo Leinen,Q63810,nan,,,70
Peter Liese,Q85566,nan,,,53
Arne Lietz,Q16943361,nan,,,42
Norbert Lins,Q16999649,nan,,,41
Barbara Lochbihler,Q74133,nan,,,59
Sabine Lösing,Q90767,nan,,,63
Bernd Lucke,Q823840,nan,,,56
Thomas Mann,Q37030,nan,,,0
David McAllister,Q62093,nan,,,48
Gesine Meissner,Q90784,nan,,,67
Susanne Melior,Q2369382,nan,,,60
Jörg Meuthen,Q15907132,nan,,,57
Martina Michels,Q1324719,nan,,,63
Ulrike Müller,Q21497163,nan,,,47
Norbert Neuser,Q104492,nan,,,0
Angelika Niebler,Q74215,nan,,,56
Maria Noichl,Q1112658,nan,,,52
Markus Pieper,Q78202,nan,,,55
Marcus Pretzell,Q17117405,nan,,,45
Gabriele Preuss,Q16999706,nan,,,64
Godelieve Quisthoudt-Rowohl,Q74186,nan,,,0
Dennis Radtke,Q34674536,nan,,,39
Julia Reda,Q15731842,nan,,,32
Terry Reintke,Q1386500,nan,,,31
Ulrike Rodust,Q124965,nan,,,69
Martin Schirdewan,Q17124693,nan,,,43
Helmut Scholz,Q6576103,nan,,,0
Sven Schulze,Q17093506,nan,,,39
Joachim Schuster,Q1499562,nan,,,56
Andreas Schwab,Q78194,nan,,,45
Peter Simon,Q2078356,nan,,,0
Birgit Sippel,Q108736,nan,,,59
Renate Sommer,Q75193,nan,,,60
Martin Sonneborn,Q87485,nan,,,53
Joachim Starbatty,Q89292,nan,,,0
Ulrike Trebesius,Q17117406,nan,,,0
Helga Trüpel,Q68016,nan,,,60
Sabine Verheyen,Q91697,nan,,,54
Udo Voigt,Q57447,nan,,,66
Axel Voss,Q16530497,nan,,,55
Manfred Weber,Q88866,nan,,,46
Martina Werner,Q17117409,nan,,,57
Kerstin Westphal,Q104881,nan,,,56
Rainer Wieland,Q85543,nan,,,62
Hermann Winkler,Q90995,nan,,,55
Babette Winter,Q19274426,nan,,,0
Tiemo Wölken,Q27903982,nan,,,33
Joachim Zeller,Q95516,nan,,,66
Gabriele Zimmer,Q77771,nan,,,63
Nikos Androulakis,Q17116940,nan,,,40
Nikolaos Chountis,Q3341844,nan,,,65
Kostas Chrysogonos,Q17155824,nan,,,57
Georgios Epitideios,Q17155826,nan,,,66
Lampros Fountoulis,Q17305312,nan,,,58
Giorgos Grammatikakis,Q17315716,nan,,,79
Eva Kaili,Q2420152,nan,,,0
Manolis Kefalogiannis,Q6751217,nan,,,59
Stelios Kouloglou,Q14476134,nan,,,0
Kostadinka Kuneva,Q12879609,nan,,,0
Miltiadis Kyrkos,Q17121823,nan,,,59
Georgios Kyrtsos,Q3765532,nan,,,0
Notis Marias,Q17149323,nan,,,61
Konstantinos Papadakis,Q26206989,nan,,,46
Dimitrios Papadimoulis,Q3556414,nan,,,64
Sofia Sakorafa,Q437648,nan,,,61
Maria Spyraki,Q17155698,nan,,,53
Eleftherios Synadinos,Q17155832,nan,,,63
Elissavet Vozemberg-Vrionidi,Q16061914,nan,,,62
Theodoros Zagorakis,Q296452,nan,,,47
Sotirios Zarianopoulos,Q17155834,nan,,,4
Zoltán Balczó,Q218872,nan,,,71
Andrea Bocskor,Q17302280,nan,,,40
Andor Deli,Q17315555,nan,,,41
Tamás Deutsch,Q675333,nan,,,0
Norbert Erdős,Q7050311,nan,,,46
Kinga Gál,Q721647,nan,,,48
András Gyürk,Q281433,nan,,,46
György Hölvényi,Q17297615,nan,,,0
Lívia Járóka,Q372388,nan,,,44
Benedek Jávor,Q659323,nan,,,46
Ádám Kósa,Q249551,nan,,,43
Béla Kovács,Q1120007,nan,,,81
Tamás Meszerics,Q12815307,nan,,,54
Csaba Molnár,Q967118,nan,,,43
Krisztina Morvai,Q270498,nan,,,55
Péter Niedermüller,Q17315558,nan,,,0
György Schöpflin,Q838349,nan,,,79
József Szájer,Q731042,nan,,,57
Tibor Szanyi,Q1294674,nan,,,0
László Tőkés,Q535922,nan,,,66
István Ujhelyi,Q253020,nan,,,44
Lynn Boylan,Q16945605,nan,,,42
Matt Carthy,Q16979858,nan,,,41
Nessa Childers,Q525282,nan,,,62
Deirdre Clune,Q1183377,nan,,,59
Brian Crowley,Q651719,nan,,,55
Luke Ming Flanagan,Q3778169,nan,,,47
Marian Harkin,Q444372,nan,,,65
Brian Hayes,Q4963981,nan,,,49
Seán Kelly,Q1208164,nan,,,0
Mairead McGuinness,Q467633,nan,,,59
Liadh Ní Riada,Q16980118,nan,,,52
Isabella Adinolfi,Q17170880,nan,,,40
Marco Affronte,Q17140213,nan,,,53
Laura Agea,Q17266638,nan,,,41
Daniela Aiuto,Q17266642,nan,,,0
Tiziana Beghin,Q17266640,nan,,,48
Brando Benifei,Q17123340,nan,,,33
Goffredo Maria Bettini,Q3772794,nan,,,0
Mara Bizzotto,Q583545,nan,,,46
Simona Bonafè,Q15623382,nan,,,45
Mario Borghezio,Q1346627,nan,,,71
David Borrelli,Q17314126,nan,,,37
Mercedes Bresso,Q437151,nan,,,74
Renata Briano,Q17175270,nan,,,0
Nicola Caputo,Q17266645,nan,,,0
Fabio Massimo Castaldo,Q17266683,nan,,,33
Lorenzo Cesa,Q763148,nan,,,67
Caterina Chinnici,Q16389751,nan,,,64
Salvatore Cicu,"Q3946009
",nan,,,0
Angelo Ciocca,Q24951518,nan,,,43
Alberto Cirio,Q17266671,nan,,,46
Sergio Gaetano Cofferati,Q550363,nan,,,0
Lara Comi,Q434308,nan,,,0
Ignazio Corrao,Q16977486,nan,,,35
Silvia Costa,Q776886,nan,,,0
Andrea Cozzolino,Q493714,nan,,,56
Rosa dAmato,Q17266637,nan,,,0
Nicola Danti,Q17152415,nan,,,52
Paolo De Castro,Q730921,nan,,,61
Isabella De Monte,Q16039218,nan,,,0
Herbert Dorfmann,Q1285166,nan,,,0
Eleonora Evi,Q17266677,nan,,,35
Giuseppe Ferrandino,Q51990731,nan,,,0
Laura Ferrara,Q17152507,nan,,,35
Raffaele Fitto,Q1060314,nan,,,49
Eleonora Forenza,Q17024703,nan,,,42
Elisabetta Gardini,Q3723227,nan,,,62
Enrico Gasbarra,Q3725786,nan,,,0
Elena Gentile,Q17152573,nan,,,0
Michela Giuffrida,Q17140478,nan,,,0
Roberto Gualtieri,Q948169,nan,,,52
Cécile Kashetu Kyenge,Q8277714,nan,,,54
Giovanni La Via,Q3767545,nan,,,0
Danilo Oscar Lancini,Q51954730,nan,,,53
Innocenzo Leontini,Q3798977,nan,,,0
Curzio Maltese,Q682600,nan,,,0
Fulvio Martusciello,Q17266672,nan,,,50
Barbara Matera,Q453848,nan,,,37
Stefano Maullu,Q20668367,nan,,,0
Giulia Moi,Q17147314,nan,,,47
Luigi Morgano,Q17266628,nan,,,0
Alessia Maria Mosca,Q3610441,nan,,,43
Alessandra Mussolini,Q285543,nan,,,56
Pier Antonio Panzeri,Q1055562,nan,,,63
Massimo Paolucci,Q15162091,nan,,,0
Aldo Patriciello,Q1077655,nan,,,61
Piernicola Pedicini,Q17266674,nan,,,49
Pina Picierno,Q3905080,nan,,,37
Massimiliano Salini,Q3851074,nan,,,46
David-Maria Sassoli,Q2391857,nan,,,0
Elly Schlein,Q16975892,nan,,,33
Giancarlo Scottà,Q5558074,nan,,,65
Remo Sernagiotto,Q7312043,nan,,,63
Renato Soru,Q167404,nan,,,0
Barbara Spinelli,Q3634690,nan,,,72
Antonio Tajani,Q440710,nan,,,65
Dario Tamburrano,Q17266680,nan,,,0
Patrizia Toia,Q446679,nan,,,69
Marco Valli,Q17266679,nan,,,0
Daniele Viotti,Q17266679,nan,,,0
Marco Zanni,Q17266678,nan,,,32
Flavio Zanonato,Q3746528,nan,,,68
Damiano Zoffoli,Q19395826,nan,,,0
Marco Zullo,Q17305108,nan,,,40
Iveta Grigule-Pēterse,Q11714349,nan,,,54
Sandra Kalniete,Q236968,nan,,,66
Aleksejs Loskutovs,Q4267253,nan,,,0
Andrejs Mamikins,Q15846338,nan,,,0
Miroslavs Mitrofanovs,Q1971334,nan,,,0
Kārlis Šadurskis\xa0,Q11213537,nan,,,0
Inese Vaidere,Q2662771,nan,,,66
Roberts Zīle,Q969701,nan,,,60
Laima Liucija Andrikienė,Q435717,nan,,,61
Petras Auštrevičius,Q2080450,nan,,,55
Zigmantas Balčytis,Q117150,nan,,,65
Vilija Blinkevičiūtė,Q435394,nan,,,59
Antanas Guoga,Q1509932,nan,,,45
Valentinas Mazuronis,Q557932,nan,,,65
Rolandas Paksas,Q296956,nan,,,62
Bronis Ropė,Q501991,nan,,,0
Algirdas Saudargas,Q556409,nan,,,70
Valdemar Tomaševski,Q1502078,nan,,,54
Viktor Uspaskich,Q1361333,nan,,,0
Georges Bach,Q981276,nan,,,63
Mady Delvaux,Q436989,nan,,,68
Frank Engel,Q1226033,nan,,,67
Charles Goerens,Q286466,nan,,,67
Christophe Hansen,Q56460787,nan,,,37
Tilly Metz,Q13105242,nan,,,51
David Casa,Q578504,nan,,,50
Miriam Dalli,Q17315715,nan,,,42
Roberta Metsola,Q7351526,nan,,,40
Marlene Mizzi,Q15207915,nan,,,64
Alfred Sant,Q559545,nan,,,71
Francis Zammit Dimech,Q16545829,nan,,,64
Bas Belder,Q810605,nan,,,72
Marcel de Graaff,Q2003427,nan,,,56
Dennis de Jong,Q952646,nan,,,63
Esther de Lange,Q439039,nan,,,44
Bas Eickhout,Q809726,nan,,,42
André Elissen,Q2042395,nan,,,59
Gerben-Jan Gerbrandy,Q455179,nan,,,0
Anja Hazekamp,Q2187156,nan,,,51
Jan Huitema,Q17297655,nan,,,0
Sophie in t Veld,Q446991,nan,,,0
Agnes Jongerius,Q2745560,nan,,,58
Jeroen Lenaers,Q17189402,nan,,,34
Anne-Marie Mineur,Q17276525,nan,,,51
Caroline Nagtegaal,Q21547522,nan,,,0
Kati Piri,Q17143453,nan,,,39
Judith Sargentini,Q456484,nan,,,45
Marietje Schaake,Q433561,nan,,,40
Annie Schreijer-Pierik,Q4769431,nan,,,66
Olaf Stuger,Q329694,nan,,,49
Paul Tang,Q14053382,nan,,,60
Johannes Cornelis van Baalen,Q1583347,nan,,,58
Peter van Dalen,Q543763,nan,,,60
Wim van de Camp,Q952635,nan,,,65
Matthijs van Miltenburg,Q17152490,nan,,,46
Lambert van Nistelrooij,Q965552,nan,,,66
Auke Zijlstra,Q771169,nan,,,54
Michał Boni,Q535780,nan,,,0
Jerzy Buzek,Q55910,nan,,,78
Ryszard Czarnecki,Q253793,nan,,,56
Edward Czesak,Q327692,nan,,,68
Anna Elżbieta Fotyga,Q432190,nan,,,62
Lidia Joanna Geringer de Oedenberg,Q455375,nan,,,61
Adam Gierek,Q349492,nan,,,80
Beata Gosiewska,Q11687634,nan,,,48
Andrzej Grzyb,Q4759608,nan,,,62
Krzysztof Hetman,Q11749266,nan,,,44
Czesław Hoc,Q382842,nan,,,0
Danuta Maria Hübner,Q242090,nan,,,70
Robert Jarosław Iwaszkiewicz,Q17166407,nan,,,56
Danuta Jazłowiecka,Q273578,nan,,,61
Marek Jurek,Q246212,nan,,,58
Jarosław Kalinowski,Q3672035,nan,,,56
Karol Karski,Q932720,nan,,,52
Sławomir Kłosowski,Q432195,nan,,,55
Agnieszka Kozłowska-Rajewicz,Q9142309,nan,,,49
Zdzisław Krasnodębski,Q8068111,nan,,,0
Urszula Krupa,Q6271241,nan,,,69
Barbara Kudrycka,Q450710,nan,,,63
Zbigniew Kuźmiuk,Q6271307,nan,,,62
Ryszard Antoni Legutko,Q3453988,nan,,,69
Janusz Lewandowski,Q519793,nan,,,67
Bogusław Liberadzki,Q4937928,nan,,,70
Elżbieta Katarzyna Łukacijewska,Q432566,nan,,,52
Krystyna Łybacka,Q276161,nan,,,0
Michał Marusik,Q17166422,nan,,,67
Jan Olbrycht,Q6149636,nan,,,0
Stanisław Ożóg,Q256095,nan,,,65
Bolesław G. Piecha,Q4939261,nan,,,64
Mirosław Piotrowski,Q8273288,nan,,,53
Julia Pitera,Q435118,nan,,,0
Marek Plura,Q1773780,nan,,,48
Tomasz Piotr Poręba,Q9359622,nan,,,45
Dariusz Rosati,Q1166062,nan,,,72
Jacek Saryusz-Wolski,Q921839,nan,,,70
Czesław Adam Siekierski,Q6271409,nan,,,66
Bogusław Sonik,Q4937934,nan,,,65
Dobromir Sośnierz,Q48864253,nan,,,0
Adam Szejnfeld,Q351039,nan,,,60
Kazimierz Michał Ujazdowski,Q930336,nan,,,54
Róża Gräfin von Thun Und Hohenstein,Q274125,nan,,,0
Jarosław Wałęsa,Q1392390,nan,,,42
Jadwiga Wiśniewska,Q644441,nan,,,55
Bogdan Andrzej Zdrojewski,Q323398,nan,,,61
Janusz Zemke,Q376870,nan,,,70
Kosma Złotowski,Q925180,nan,,,55
Stanisław Żółtek,Q9343571,nan,,,62
Tadeusz Zwiefka,Q449484,nan,,,64
Francisco Assis,Q656518,nan,,,54
Carlos Coelho,Q61940713,nan,,,65
Manuel dos Santos,Q3286800,nan,,,75
José Inácio Faria,Q17024746,nan,,,0
José Manuel Fernandes,Q10309880,nan,,,0
João Ferreira,Q18064728,nan,,,0
Ana Gomes,Q2844986,nan,,,65
António Marinho e Pinto,Q611182,nan,,,0
Marisa Matias,Q440355,nan,,,43
Nuno Melo,Q10338216,nan,,,0
Cláudia Monteiro De Aguiar,Q16537126,nan,,,0
João Pimenta Lopes,Q22443735,nan,,,0
Paulo Rangel,Q10346767,nan,,,51
Sofia Ribeiro,Q10372930,nan,,,0
Liliana Rodrigues,Q17270451,nan,,,45
Maria João Rodrigues,Q3290963,nan,,,0
Fernando Ruas,Q16545093,nan,,,0
Ricardo Serrão Santos,Q16596372,nan,,,0
Pedro Silva Pereira,Q2066785,nan,,,56
Miguel Viegas,Q17270836,nan,,,0
Carlos Zorrinho,Q15980671,nan,,,59
Victor Boştinaru,Q3064873,nan,,,0
Daniel Buda,Q12726380,nan,,,49
Cristian-Silviu Buşoi,Q348993,nan,,,41
Andi Cristea,Q17176889,nan,,,0
Mircea Diaconu,Q1177587,nan,,,69
Damian Drăghici,Q1158440,nan,,,48
Doru-Claudian Frunzulică,Q16541015,nan,,,0
Maria Grapini,Q15718586,nan,,,64
Cătălin Sorin Ivan,Q11692492,nan,,,40
Monica Macovei,Q2526083,nan,,,60
Ramona Nicole Mănescu,Q3064927,nan,,,0
Marian-Jean Marinescu,Q345794,nan,,,66
Sorin Moisă,Q17315717,nan,,,0
Siegfried Mureşan,Q17155237,nan,,,37
Dan Nica,Q5214099,nan,,,58
Norica Nicolai,Q7051233,nan,,,61
Ioan Mircea Paşcu,Q348800,nan,,,0
Emilian Pavel,Q18571787,nan,,,0
Răzvan Popa,Q24000021,nan,,,21
Cristian Dan Preda,Q3002861,nan,,,52
Laurenţiu Rebega,Q17315718,nan,,,43
Daciana Octavia Sârbu,Q274779,nan,,,42
Csaba Sógor,Q551425,nan,,,54
Theodor Dumitru Stolojan,Q126660,nan,,,75
Claudiu Ciprian Tănăsescu,Q558350,nan,,,0
Claudia Țapardel,Q17149761,nan,,,35
Mihai Ţurcanu,Q19678257,nan,,,0
Traian Ungureanu,Q9360698,nan,,,0
Adina-Ioana Vălean,Q274739,nan,,,51
Renate Weber,Q440689,nan,,,0
Iuliu Winkler,Q520490,nan,,,55
Maria Gabriela Zoană,Q47524630,nan,,,0
Monika Beňová,Q441032,nan,,,50
Pál Csáky,Q875200,nan,,,0
Eduard Kukan,Q1289100,nan,,,0
Vladimír Maňka,Q7938821,nan,,,59
Miroslav Mikolášik,Q4597444,nan,,,66
József Nagy,Q439713,nan,,,0
Branislav Škripek,Q17315719,nan,,,0
Monika Smolková,Q11785160,nan,,,62
Ivan Štefanec,Q11714338,nan,,,57
Richard Sulík,Q586798,nan,,,51
Anna Záborská,Q455164,nan,,,70
Boris Zala,Q3487103,nan,,,0
Jana Žitňanská,Q11719711,nan,,,44
Franc Bogovič,Q12016827,nan,,,56
Tanja Fajon,Q462744,nan,,,47
Alojz Peterle,Q282653,nan,,,70
Igor Šoltes,Q17120046,nan,,,54
Patricija Šulin,Q12798364,nan,,,0
Romana Tomc,Q16089810,nan,,,53
Ivo Vajgl,Q685146,nan,,,76
Milan Zver,Q1628512,nan,,,56
Clara Eugenia Aguilera García,Q5771098,nan,,,0
Marina Albiol Guzmán,Q11691062,nan,,,36
Inés Ayala Sender,Q270509,nan,,,61
Pilar Ayuso,Q440669,nan,,,76
Beatriz Becerra Basterrechea,Q17174668,nan,,,52
Xabier Benito Ziluaga,Q21600336,nan,,,3
Izaskun Bilbao Barandica,Q290539,nan,,,57
