Full Name,Wikidata code,Gender,DoB,Age,Unnamed: 5,Gender.1
Henna Virkkunen,Q2983767,female,04/06/1972,46.0,,Female
Michèle Alliot-Marie,Q58130,female,10/09/1946,72.0,,Female
Eric Andrieu,Q287849,male,14/04/1960,58.0,,Male
Marie-Christine Arnautu,Q3291630,female,19/10/1952,66.0,,Female
Jean Arthuis,Q528462,male,07/10/1944,74.0,,Male
Guillaume Balas,Q16916373,male,30/08/1972,46.0,,Male
Nicolas Bay,Q3340073,male,21/12/1977,41.0,,Male
Pervenche Berès,Q240740,female,10/03/1957,62.0,,Female
Joëlle Bergeron,Q17174767,female,28/06/1949,69.0,,Female
Dominique Bilde,Q17174898,female,01/08/1953,65.0,,Female
Marie-Christine Boutonnet,Q17175186,female,10/02/1949,70.0,,Female
José Bové,Q5819,male,11/06/1953,65.0,,Male
Steeve Briois,Q3497810,male,28/11/1972,46.0,,Male
Alain Cadec,Q1404258,male,21/06/1953,65.0,,Male
Jean-Marie Cavada,Q167019,male,24/02/1940,79.0,,Male
Aymeric Chauprade,Q793139,male,13/01/1969,50.0,,Male
Jacques Colombier,Q6120507,male,17/02/1952,67.0,,Male
Thierry Cornillet,Q3524195,male,23/07/1951,67.0,,Male
Arnaud Danjean,Q444504,male,11/02/1971,48.0,,Male
Michel Dantin,Q546722,male,15/01/1960,59.0,,Male
Rachida Dati,Q27182,female,27/11/1965,53.0,,Female
Angélique Delahaye,Q17128240,female,22/02/1963,56.0,,Female
Karima Delli,Q433637,female,04/03/1979,40.0,,Female
Geoffroy Didier,Q3101123,male,12/04/1976,42.0,,Male
Mireille DOrnano,Q17171641,female,29/06/1951,67.0,,Female
Pascal Durand,Q3367388,male,03/10/1960,58.0,,Male
Karine Gloanec Maurin,Q15963771,female,11/01/1958,61.0,,Female
Sylvie Goddyn,Q16948142,female,24/06/1964,54.0,,Female
Bruno Gollnisch,Q463260,male,28/01/1950,69.0,,Male
Nathalie Griesbeck,Q461446,female,24/05/1956,62.0,,Female
Françoise Grossetête,Q461433,female,17/05/1946,72.0,,Female
Sylvie Guillaume,Q439991,female,11/06/1962,56.0,,Female
Brice Hortefeux,Q502972,male,11/05/1958,60.0,,Male
Yannick Jadot,Q441791,male,27/07/1967,51.0,,Male
Jean-François Jalkh,Q3165682,male,23/05/1957,61.0,,Male
France Jamet,Q5478286,female,05/02/1961,58.0,,Female
Eva Joly,Q464116,female,05/12/1943,75.0,,Female
Marc Joulaud,Q3288141,male,03/09/1967,51.0,,Male
Philippe Juvin,Q445705,male,01/02/1964,55.0,,Male
Patricia Lalonde,Q30105230,female,28/08/1952,66.0,,Female
Alain Lamassoure,Q777954,male,10/02/1944,75.0,,Male
Jérôme Lavrilleux,Q16948153,male,19/09/1969,49.0,,Male
Patrick Le Hyaric,Q981486,male,04/02/1957,62.0,,Male
Jean-Marie Le Pen,Q7177,male,20/06/1928,90.0,,Male
Gilles Lebreton,Q16549460,male,11/10/1958,60.0,,Male
Christelle Lechevalier,Q30987342,female,27/09/1968,50.0,,Male
Philippe Loiseau,Q7184853,male,24/11/1957,61.0,,Male
Louis-Joseph Manscour,Q3260652,male,20/03/1945,74.0,,Male
Dominique Martin,Q17152822,male,01/10/1961,57.0,,Male
Edouard Martin,Q15054090,male,15/06/1963,55.0,,Male
Emmanuel Maurel,Q3052795,male,10/05/1973,45.0,,Male
Joëlle Mélin,Q17155333,female,26/03/1950,69.0,,Female
Bernard Monot,Q16980202,male,03/07/1962,56.0,,Male
Sophie Montel,Q7563041,female,22/11/1969,49.0,,Female
Nadine Morano,Q3334944,female,06/11/1963,55.0,,Female
Elisabeth Morin-Chartier,Q439986,female,10/10/1947,71.0,,Female
Renaud Muselier,Q3424934,male,06/05/1959,59.0,,Male
Younous Omarjee,Q2542770,male,30/09/1969,49.0,,Male
Gilles Pargneaux,Q546370,male,24/03/1957,62.0,,Male
Vincent Peillon,Q960643,male,07/07/1960,58.0,,Male
Florian Philippot,Q3074223,male,24/10/1981,37.0,,Male
Maurice Ponga,Q544880,male,05/06/1947,71.0,,Male
Franck Proust,Q1442460,male,02/05/1963,55.0,,Male
Christine Revault DAllonnes Bonnefoy,Q16354684,female,10/11/1971,47.0,,Female
Dominique Riquet,Q1238315,male,18/09/1946,72.0,,Female
Michèle Rivasi,Q442810,female,09/02/1953,66.0,,Female
Robert Rochefort,Q546285,male,19/09/1955,63.0,,Male
Virginie Rozière,Q15696910,female,18/06/1976,42.0,,Female
Tokia Saïfi,Q461385,female,11/07/1959,59.0,,Female
Anne Sander,Q17171393,female,01/10/1973,45.0,,Female
Jean-Luc Schaffhauser,Q16963365,male,17/12/1955,63.0,,Male
Isabelle Thomas,Q3155046,female,26/11/1961,57.0,,Female
Mylène Troszczynski,Q16963316,female,16/05/1972,46.0,,Female
Marie-Christine Vergiat,Q439694,female,23/09/1956,62.0,,Female
Marie-Pierre Vieu,Q30341962,female,01/02/1967,52.0,,Female
Reimer Böge,Q68044,male,18/12/1951,67.0,,Male
Elmar Brok,Q71674,male,14/05/1946,72.0,,Male
Klaus Buchner,Q105761,male,06/02/1941,78.0,,Male
Udo Bullmann,Q449080,male,08/06/1956,62.0,,Male
Reinhard Bütikofer,Q31236,male,26/01/1953,66.0,,Male
Daniel Caspary,Q77761,male,04/04/1976,42.0,,Male
Birgit Collin-Langen,Q511181,female,04/09/1956,62.0,,Female
Michael Cramer,Q69674,male,16/06/1949,69.0,,Male
Albert Dess,Q85528,male,17/04/1947,71.0,,Male
Michael Detjen,Q47271098,male,28/04/1958,60.0,,Male
Stefan Eck,Q2336011,male,08/01/1956,63.0,,Male
Christian Ehler,Q74162,male,17/08/1963,55.0,,Male
Cornelia Ernst,Q91526,female,30/11/1956,62.0,,Female
Ismail Ertug,Q75194,male,05/12/1975,43.0,,Male
Markus Ferber,Q85676,male,15/01/1965,54.0,,Male
Knut Fleckenstein,Q104870,male,20/12/1953,65.0,,Male
Karl-Heinz Florenz,Q78215,male,22/10/1947,71.0,,Male
Romeo Franz,Q2165078,male,28/10/1966,52.0,,Male
Michael Gahler,Q85537,male,22/04/1960,58.0,,Male
Evelyne Gebhardt,Q74191,female,19/01/1954,65.0,,Female
Stefan Gehrold,Q56751537,male,14/11/1965,53.0,,Male
Jens Geier,Q95758,male,22/06/1961,57.0,,Male
Arne Gericke,Q692424,male,19/11/1964,54.0,,Male
Sven Giegold,Q84687,male,17/11/1969,49.0,,Male
Jens Gieseke,Q17310794,male,18/05/1971,47.0,,Male
Ingeborg Grässle,Q85551,female,02/03/1961,58.0,,Female
Thomas Händel,Q96605,male,27/08/1953,65.0,,Male
Rebecca Harms,Q62366,female,07/12/1956,62.0,,Female
Martin Häusling,Q95895,male,26/03/1961,58.0,,Male
Hans-Olaf Henkel,Q105564,male,14/03/1940,79.0,,Male
Maria Heubuch,Q17117404,female,12/12/1958,60.0,,Female
Nadja Hirsch,Q120859,female,13/07/1978,40.0,,Female
Iris Hoffmann,Q1475495,female,29/06/1963,55.0,,Female
Monika Hohlmeier,Q78415,female,02/07/1962,56.0,,Female
Peter Jahr,Q88213,male,24/04/1959,59.0,,Male
Petra Kammerevert,Q92274,female,01/06/1966,52.0,,Female
Sylvia-Yvonne Kaufmann,Q74165,female,23/01/1955,64.0,,Female
Ska Keller,Q71528,female,22/11/1981,37.0,,Female
Wolf Klinz,Q85356,male,13/09/1941,77.0,,Male
Dieter-Lebrecht Koch,Q78207,male,07/01/1953,66.0,,Male
Arndt Kohn,Q28869827,male,03/09/1980,38.0,,Male
Bernd Kölmel,Q16999699,male,08/12/1958,60.0,,Male
Dietmar Köster,Q16999729,male,06/01/1957,62.0,,Male
Constanze Krehl,Q71660,female,14/10/1956,62.0,,Female
Werner Kuhn,Q119366,male,19/05/1955,63.0,,Male
Bernd Lange,Q65437,male,14/11/1955,63.0,,Male
Werner Langen,Q85545,male,27/11/1949,69.0,,Male
Jo Leinen,Q63810,male,06/04/1948,70.0,,Male
Peter Liese,Q85566,male,20/05/1965,53.0,,Male
Arne Lietz,Q16943361,male,23/07/1976,42.0,,Male
Norbert Lins,Q16999649,male,22/12/1977,41.0,,Male
Barbara Lochbihler,Q74133,female,20/05/1959,59.0,,Female
Sabine Lösing,Q90767,female,30/11/1955,63.0,,Female
Bernd Lucke,Q823840,male,19/08/1962,56.0,,Male
Thomas Mann,Q74151,male,28/01/1946,73.0,,Male
David McAllister,Q62093,male,12/01/1971,48.0,,Male
Gesine Meissner,Q90784,female,22/02/1952,67.0,,Female
Susanne Melior,Q2369382,female,01/09/1958,60.0,,Female
Jörg Meuthen,Q15907132,male,29/06/1961,57.0,,Male
Martina Michels,Q1324719,female,01/12/1955,63.0,,Female
Ulrike Müller,Q2477402,female,07/12/1962,56.0,,Male
Norbert Neuser,Q104492,male,22/03/1949,70.0,,Male
Angelika Niebler,Q74215,female,18/02/1963,56.0,,Female
Maria Noichl,Q1112658,female,09/01/1967,52.0,,Female
Markus Pieper,Q78202,male,15/05/1963,55.0,,Male
Marcus Pretzell,Q17117405,male,16/07/1973,45.0,,Male
Gabriele Preuss,Q16999706,female,27/09/1954,64.0,,Female
Godelieve Quisthoudt-Rowohl,Q74186,female,18/06/1947,71.0,,Female
Dennis Radtke,Q34674536,male,29/04/1979,39.0,,Male
Julia Reda,Q15731842,female,30/11/1986,32.0,,Female
Terry Reintke,Q1386500,female,09/05/1987,31.0,,Male
Ulrike Rodust,Q124965,female,04/06/1949,69.0,,Male
Martin Schirdewan,Q17124693,male,12/07/1975,43.0,,Male
Helmut Scholz,Q96290,male,21/06/1954,64.0,,Male
Sven Schulze,Q17093506,male,31/07/1979,39.0,,Male
Joachim Schuster,Q1499562,male,28/10/1962,56.0,,Male
Andreas Schwab,Q78194,male,09/04/1973,45.0,,Male
Peter Simon,Q102421,male,04/04/1967,51.0,,Male
Birgit Sippel,Q108736,female,29/01/1960,59.0,,Female
Renate Sommer,Q75193,female,10/09/1958,60.0,,Female
Martin Sonneborn,Q87485,male,15/05/1965,53.0,,Male
Joachim Starbatty,Q89292,male,09/05/1940,78.0,,Male
Ulrike Trebesius,Q17117406,female,17/04/1970,48.0,,Male
Helga Trüpel,Q68016,female,21/07/1958,60.0,,Female
Sabine Verheyen,Q91697,female,24/10/1964,54.0,,Female
Udo Voigt,Q57447,male,14/04/1952,66.0,,Male
Axel Voss,Q16530497,male,07/04/1963,55.0,,Male
Manfred Weber,Q88866,male,14/07/1972,46.0,,Male
Martina Werner,Q17117409,female,28/12/1961,57.0,,Female
Kerstin Westphal,Q104881,female,11/09/1962,56.0,,Female
Rainer Wieland,Q85543,male,19/02/1957,62.0,,Male
Hermann Winkler,Q90995,male,22/04/1963,55.0,,Male
Babette Winter,Q19274426,female,06/06/1964,54.0,,Female
Tiemo Wölken,Q27903982,male,05/12/1985,33.0,,Male
Joachim Zeller,Q95516,male,01/07/1952,66.0,,Male
Gabriele Zimmer,Q77771,female,07/05/1955,63.0,,Female
Nikos Androulakis,Q17116940,male,07/02/1979,40.0,,Male
Nikolaos Chountis,Q3341844,male,17/09/1953,65.0,,Male
Kostas Chrysogonos,Q17155824,male,27/06/1961,57.0,,Male
Georgios Epitideios,Q17155826,male,02/03/1953,66.0,,Male
Lampros Fountoulis,Q17305312,male,23/01/1961,58.0,,Male
Giorgos Grammatikakis,Q17315716,male,21/05/1939,79.0,,Male
Eva Kaili,Q2420152,female,26/10/1978,40.0,,Female
Manolis Kefalogiannis,Q6751217,male,25/05/1959,59.0,,Male
Stelios Kouloglou,Q14476134,male,27/02/1953,66.0,,Male
Kostadinka Kuneva,Q12879609,female,28/09/1964,54.0,,Female
Miltiadis Kyrkos,Q17121823,male,01/04/1959,59.0,,Male
Georgios Kyrtsos,Q3765532,male,04/06/1952,66.0,,Male
Notis Marias,Q17149323,male,05/04/1957,61.0,,Male
Konstantinos Papadakis,Q17265926,male,18/04/1975,43.0,,Male
Dimitrios Papadimoulis,Q3556414,male,21/03/1955,64.0,,Male
Sofia Sakorafa,Q437648,female,29/04/1957,61.0,,Female
Maria Spyraki,Q17155698,female,11/09/1965,53.0,,Female
Eleftherios Synadinos,Q17155832,male,06/07/1955,63.0,,Male
Elissavet Vozemberg-Vrionidi,Q16061914,female,14/09/1956,62.0,,Female
Theodoros Zagorakis,Q296452,male,27/10/1971,47.0,,Male
Sotirios Zarianopoulos,Q17155834,male,16/02/1961,58.0,,Male
Zoltán Balczó,Q218872,male,01/01/1948,71.0,,Male
Andrea Bocskor,Q17302280,female,11/08/1978,40.0,,Female
Andor Deli,Q17315555,male,02/05/1977,41.0,,Male
Tamás Deutsch,Q645267,male,27/07/1966,52.0,,Male
Norbert Erdős,Q7050311,male,25/10/1972,46.0,,Male
Kinga Gál,Q721647,female,06/09/1970,48.0,,Female
András Gyürk,Q281433,male,02/12/1972,46.0,,Male
György Hölvényi,Q17297615,male,13/06/1962,56.0,,Male
Lívia Járóka,Q372388,female,06/10/1974,44.0,,Female
Benedek Jávor,Q659323,male,02/07/1972,46.0,,Male
Ádám Kósa,Q249551,male,01/07/1975,43.0,,Male
Béla Kovács,Q1120020,male,25/02/1960,59.0,,Female
Tamás Meszerics,Q12815307,male,04/12/1964,54.0,,Male
Csaba Molnár,Q967118,male,04/12/1975,43.0,,Male
Krisztina Morvai,Q270498,female,22/06/1963,55.0,,Female
Péter Niedermüller,Q17315558,male,03/09/1952,66.0,,Male
György Schöpflin,Q838349,male,24/11/1939,79.0,,Male
József Szájer,Q731042,male,07/09/1961,57.0,,Male
Tibor Szanyi,Q1294674,male,13/07/1956,62.0,,Male
László Tőkés,Q535922,male,01/04/1952,66.0,,Male
István Ujhelyi,Q253020,male,28/02/1975,44.0,,Male
Lynn Boylan,Q16945605,female,29/11/1976,42.0,,Female
Matt Carthy,Q16979858,male,19/07/1977,41.0,,Male
Nessa Childers,Q525282,female,09/10/1956,62.0,,Female
Deirdre Clune,Q1183377,female,01/06/1959,59.0,,Female
Brian Crowley,Q651719,male,04/03/1964,55.0,,Male
Luke Ming Flanagan,Q3778169,male,22/01/1972,47.0,,Male
Marian Harkin,Q444372,female,26/11/1953,65.0,,Female
Brian Hayes,Q4963985,male,23/08/1969,49.0,,Male
Seán Kelly,Q1381218,male,26/04/1952,66.0,,Male
Mairead McGuinness,Q467633,female,13/06/1959,59.0,,Female
Liadh Ní Riada,Q16980118,female,24/11/1966,52.0,,Female
Isabella Adinolfi,Q17170880,female,27/03/1978,40.0,,Female
Marco Affronte,Q17140213,male,06/05/1965,53.0,,Male
Laura Agea,Q17266638,female,17/02/1978,41.0,,Female
Daniela Aiuto,Q17266642,female,14/12/1977,41.0,,Female
Tiziana Beghin,Q17266640,female,04/02/1971,48.0,,Female
Brando Benifei,Q17123340,male,01/01/1986,33.0,,Male
Goffredo Maria Bettini,Q3772794,male,05/11/1952,66.0,,Male
Mara Bizzotto,Q583545,female,03/06/1972,46.0,,Female
Simona Bonafè,Q15623382,female,12/07/1973,45.0,,Female
Mario Borghezio,Q1346627,male,03/12/1947,71.0,,Male
David Borrelli,Q17266675,male,28/04/1971,47.0,,Male
Mercedes Bresso,Q437151,female,12/07/1944,74.0,,Female
Renata Briano,Q17175270,female,23/02/1964,55.0,,Female
Nicola Caputo,Q17266645,male,04/03/1966,53.0,,Female
Fabio Massimo Castaldo,Q17266683,male,18/09/1985,33.0,,Male
Lorenzo Cesa,Q763148,male,16/08/1951,67.0,,Male
Caterina Chinnici,Q16389751,female,05/11/1954,64.0,,Female
Salvatore Cicu,Q3946009,male,03/09/1957,61.0,,Male
Angelo Ciocca,Q24951518,male,28/06/1975,43.0,,Male
Alberto Cirio,Q17266671,male,06/12/1972,46.0,,Male
Sergio Gaetano Cofferati,Q550363,male,30/01/1948,71.0,,Male
Lara Comi,Q434308,female,18/02/1983,36.0,,Female
Ignazio Corrao,Q16977486,male,14/01/1984,35.0,,Male
Silvia Costa,Q776886,female,12/06/1949,69.0,,Female
Andrea Cozzolino,Q493714,male,03/08/1962,56.0,,Female
Rosa dAmato,Q17266637,female,30/03/1969,49.0,,Female
Nicola Danti,Q17152415,male,06/09/1966,52.0,,Female
Paolo De Castro,Q730921,male,02/02/1958,61.0,,Male
Isabella De Monte,Q16039218,female,23/06/1971,47.0,,Female
Herbert Dorfmann,Q1285166,male,04/03/1969,50.0,,Male
Eleonora Evi,Q17266677,female,20/11/1983,35.0,,Female
Giuseppe Ferrandino,Q51952680,male,21/03/1963,56.0,,Male
Laura Ferrara,Q17152507,female,11/09/1983,35.0,,Female
Raffaele Fitto,Q1060314,male,28/08/1969,49.0,,Male
Eleonora Forenza,Q17024703,female,10/11/1976,42.0,,Female
Elisabetta Gardini,Q3723227,female,03/06/1956,62.0,,Female
Enrico Gasbarra,Q3725786,male,12/08/1962,56.0,,Male
Elena Gentile,Q17152573,female,02/11/1953,65.0,,Female
Michela Giuffrida,Q17140478,female,12/01/1964,55.0,,Female
Roberto Gualtieri,Q948169,male,19/07/1966,52.0,,Male
Cécile Kashetu Kyenge,Q8277714,female,28/08/1964,54.0,,Female
Giovanni La Via,Q3767545,male,28/06/1963,55.0,,Male
Danilo Oscar Lancini,Q51954730,male,15/10/1965,53.0,,Male
Innocenzo Leontini,Q3798977,male,25/05/1959,59.0,,Male
Curzio Maltese,Q682600,male,30/03/1959,59.0,,Male
Fulvio Martusciello,Q17266672,male,25/05/1968,50.0,,Male
Barbara Matera,Q453848,female,09/12/1981,37.0,,Female
Stefano Maullu,Q20668367,male,15/03/1962,57.0,,Male
Giulia Moi,Q17147314,female,24/05/1971,47.0,,Female
Luigi Morgano,Q17266628,male,15/03/1951,68.0,,Male
Alessia Maria Mosca,Q3610441,female,23/05/1975,43.0,,Female
Alessandra Mussolini,Q285543,female,30/12/1962,56.0,,Female
Pier Antonio Panzeri,Q1055562,male,06/06/1955,63.0,,Male
Massimo Paolucci,Q15162091,male,13/12/1959,59.0,,Male
Aldo Patriciello,Q1077655,male,27/09/1957,61.0,,Male
Piernicola Pedicini,Q17266674,male,25/05/1969,49.0,,Female
Pina Picierno,Q3905080,female,10/05/1981,37.0,,Female
Massimiliano Salini,Q3851074,male,11/03/1973,46.0,,Male
David-Maria Sassoli,Q2391857,male,30/05/1956,62.0,,Male
Elly Schlein,Q16975892,female,04/05/1985,33.0,,Female
Giancarlo Scottà,Q5558074,male,11/04/1953,65.0,,Male
Remo Sernagiotto,Q7312043,male,01/09/1955,63.0,,Male
Renato Soru,Q167404,male,26/08/1957,61.0,,Male
Barbara Spinelli,Q3634690,female,31/05/1946,72.0,,Female
Antonio Tajani,Q440710,male,04/08/1953,65.0,,Male
Dario Tamburrano,Q17266680,male,27/08/1969,49.0,,Male
Patrizia Toia,Q446679,female,17/03/1950,69.0,,Female
Marco Valli,Q17266679,male,29/06/1985,33.0,,Male
Daniele Viotti,Q17266679,male,29/06/1985,33.0,,Male
Marco Zanni,Q17266678,male,11/07/1986,32.0,,Male
Flavio Zanonato,Q3746528,male,24/07/1950,68.0,,Male
Damiano Zoffoli,Q19395826,male,17/07/1960,58.0,,Male
Marco Zullo,Q17305108,male,29/10/1978,40.0,,Male
Iveta Grigule-Pēterse,Q11714349,female,30/09/1964,54.0,,Female
Sandra Kalniete,Q236968,female,22/12/1952,66.0,,Female
Aleksejs Loskutovs,Q4267253,male,22/08/1962,56.0,,Male
Andrejs Mamikins,Q15846338,male,11/03/1976,43.0,,Male
Miroslavs Mitrofanovs,Q1971334,male,18/12/1966,52.0,,Male
Kārlis Šadurskis\xa0,Q11213537,male,11/10/1959,59.0,,Male
Inese Vaidere,Q2662771,female,03/09/1952,66.0,,Female
