First Name,Last Name,Gender,Date of Birth,Age,Country,Jurisdiction,Political_Group,_26_March_2019_Final_Vote,26 March 2019 Procedural Vote,Pledge 2019,Sept 18 Vote DELETE,Sept 18 Vote IMCO,Sept 18 Vote VOSS,Sept 18 Vote REPORT,June 18 Vote Negotiations,National_Political_Group,National Political Group (Short),Email,Twitter,Wikidata code,EP Webpage,,,,,,,
Michel,Reimon,Male,11/07/1971,47,Austria,-,Greens-EFA,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Die Grünen - Die Grüne Alternative,Die Grünen,michel.reimon@europarl.europa.eu,michelreimon,Q1930882,http://www.europarl.europa.eu/meps/en/124935/_home.html,,,,,,66,twitters absent
Paul,Rübig,Male,06/05/1953,65,Austria,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Österreichische Volkspartei,ÖVP,paul.ruebig@europarl.europa.eu,,Q85374,http://www.europarl.europa.eu/meps/en/2278/_home.html,,,,,,28,twitters abstained
Claudia,Schmidt,Female,26/04/1963,55,Austria,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Österreichische Volkspartei,ÖVP,claudia.schmidt@europarl.europa.eu,schmidt_clau,Q1097772,http://www.europarl.europa.eu/meps/en/125016/_home.html,,,,,,94,twitters not explicit
Monika,Vana,Female,14/09/1969,49,Austria,-,Greens-EFA,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Die Grünen - Die Grüne Alternative,Die Grünen,monika.vana@europarl.europa.eu,monikavana,Q1944783,http://www.europarl.europa.eu/meps/en/124934/_home.html,,,,,,,
Harald,Vilimsky,Male,22/07/1966,52,Austria,-,ENF,ABSTAINED,FOR,-,FOR,ABSTAINED,AGAINST,ABSTAINED,ABSTAINED,Freiheitliche Partei Österreichs,FPÖ,harald.vilimsky@europarl.europa.eu,,Q90244,http://www.europarl.europa.eu/meps/en/125001/_home.html,,,,,,,
Thomas,Waitz,Male,16/05/1973,45,Austria,-,Greens-EFA,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Die Grünen - Die Grüne Alternative,Die Grünen,thomas.waitz@ep.europa.eu,,Q38057897,http://www.europarl.europa.eu/meps/en/190464/_home.html,,,,,,,
Josef,Weidenholzer,Male,06/03/1950,69,Austria,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Österreichs,SPÖ,josef.weidenholzer@europarl.europa.eu,weidenholzer,Q86829,http://www.europarl.europa.eu/meps/en/111014/_home.html,,,,,,,
Gerolf,Annemans,male,08/11/1958,60,Belgium,Nederlands Kiescollege,ENF,AGAINST,FOR - CORRECTED,YES,FOR,ABSTAINED,AGAINST,AGAINST,AGAINST,Vlaams Belang,Vlaams Belang,gerolf.annemans@europarl.europa.eu,gannemans,Q2294644,http://www.europarl.europa.eu/meps/en/124973/_home.html,,,,,,,
Maria,Arena,male,17/12/1966,52,Belgium,Collège électoral français,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti Socialiste,PS,maria.arena@europarl.europa.eu,mariearenaps,Q457117,http://www.europarl.europa.eu/meps/en/124936/_home.html,,,,,,,
Pascal,Arimont,female,25/09/1974,44,Belgium,Collège électoral germanophone,EPP,AGAINST,FOR,-,AGAINST,ABSTAINED,FOR,FOR,FOR,Christlich Soziale Partei,CSP,pascal.arimont@europarl.europa.eu,pascalarimont,Q1614514,http://www.europarl.europa.eu/meps/en/24922/_home.html,,,,,,,
Hugues,Bayet,female,12/04/1975,43,Belgium,Collège électoral français,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti Socialiste,PS,hugues.bayet@europarl.europa.eu,huguesbayet,Q3142509,http://www.europarl.europa.eu/meps/en/125002/_home.html,,,,,,,
Ivo,Belet,female,07/06/1959,59,Belgium,Nederlands Kiescollege,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Christen-Democratisch & Vlaams,CD&V,ivo.belet@europarl.europa.eu,ivobelet,Q280390,http://www.europarl.europa.eu/meps/en/28257/_home.html,,,,,,,
Mark,Demesmaeker,male,12/09/1958,60,Belgium,Nederlands Kiescollege,ECR,AGAINST,FOR,-,AGAINST,AGAINST,FOR,AGAINST,AGAINST,Nieuw-Vlaamse Alliantie,NVA,mark.demesmaeker@europarl.europa.eu,markdemesmaeker,Q2368415,http://www.europarl.europa.eu/meps/en/117477/_home.html,,,,,,,
Gérard,Deprez,male,13/08/1943,75,Belgium,Collège électoral français,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Mouvement Réformateur,MR,gerard.deprez@europarl.europa.eu,gerardeprez,Q1399098,http://www.europarl.europa.eu/meps/en/1473/_home.html,,,,,,,
Philippe,Lamberts,male,14/03/1963,56,Belgium,Collège électoral français,Greens-EFA,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Ecologistes Confédérés pour l'organisation de Luttes Originales,Ecolo ,philippe.lamberts@europarl.europa.eu,ph_lamberts,Q937002,http://www.europarl.europa.eu/meps/en/96648/_home.html,,,,,,,
Louis,Michel,female,02/09/1947,71,Belgium,Collège électoral français,ALDE,FOR,AGAINST,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,FOR,Mouvement Réformateur,MR,louis.michel@europarl.europa.eu,louismichel,Q469352,http://www.europarl.europa.eu/meps/en/96670/_home.html,,,,,,,
Ralph,Packet,male,17/07/1990,28,Belgium,Nederlands Kiescollege,ECR,AGAINST,FOR,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,Nieuw-Vlaamse Alliantie,NVA,ralph.packet@europarl.europa.eu,ralphpacket,Q59247381,http://www.europarl.europa.eu/meps/en/195454/_home.html,,,,,,,
Frédérique,Ries,female,14/05/1959,59,Belgium,Collège électoral français,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Mouvement Réformateur,MR,frederique.ries@europarl.europa.eu,frederiqueries,Q458084,http://www.europarl.europa.eu/meps/en/4253/_home.html,,,,,,,
Claude,Rolin,male,26/05/1957,61,Belgium,Collège électoral français,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Centre Démocrate Humaniste,cdH,claude.rolin@europarl.europa.eu,clauderolin,Q17067276,http://www.europarl.europa.eu/meps/en/125107/_home.html,,,,,,,
Bart,Staes,male,07/08/1958,60,Belgium,Nederlands Kiescollege,Greens-EFA,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Groen,Groen,bart.staes@europarl.europa.eu,bartstaes,Q809212,http://www.europarl.europa.eu/meps/en/4751/_home.html,,,,,,,
Helga,Stevens,female,09/08/1968,50,Belgium,Nederlands Kiescollege,ECR,AGAINST,FOR,-,AGAINST,AGAINST,FOR,AGAINST,AGAINST,Nieuw-Vlaamse Alliantie,NVA,helga.stevens@europarl.europa.eu,stevenshelga,Q2359620,http://www.europarl.europa.eu/meps/en/125105/_home.html,,,,,,,
Marc,Tarabella,female,11/03/1963,56,Belgium,Collège électoral français,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti Socialiste,PS,marc.tarabella@europarl.europa.eu,marctarabella,Q1892853,http://www.europarl.europa.eu/meps/en/29579/_home.html,,,,,,,
Anneleen,Van Bossuyt,male,10/01/1980,39,Belgium,Nederlands Kiescollege,ECR,AGAINST,FOR,-,AGAINST,AGAINST,FOR,AGAINST,AGAINST,Nieuw-Vlaamse Alliantie,NVA,anneleen.vanbossuyt@europarl.europa.eu,anneleen_vb,Q18755697,http://www.europarl.europa.eu/meps/en/117491/_home.html,,,,,,,
Kathleen,Van Brempt,male,18/11/1969,49,Belgium,Nederlands Kiescollege,S&D,FOR,AGAINST,-,AGAINST,ABSTAINED,AGAINST,FOR,AGAINST,Socialistische Partij.Anders,SP.A,kathleen.vanbrempt@europarl.europa.eu,kvanbrempt,Q15995,http://www.europarl.europa.eu/meps/en/5729/_home.html,,,,,,,
Tom,Vandenkendelaere,male,02/09/1984,34,Belgium,Nederlands Kiescollege,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Christen-Democratisch & Vlaams,CD&V,tom.vandenkendelaere@europarl.europa.eu,tomvdkendelaere,Q18225970,http://www.europarl.europa.eu/meps/en/129164/_home.html,,,,,,,
Hilde,Vautmans,male,02/05/1972,46,Belgium,Nederlands Kiescollege,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,AGAINST,FOR,AGAINST,Open Vlaamse Liberalen en Democraten,Open VLD,hilde.vautmans@europarl.europa.eu,hildevautmans,Q2780443,http://www.europarl.europa.eu/meps/en/130100/_home.html,,,,,,,
Guy,Verhofstadt,female,11/04/1953,65,Belgium,Nederlands Kiescollege,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,ABSTAINED,FOR,FOR,Open Vlaamse Liberalen en Democraten,Open VLD,guy.verhofstadt@europarl.europa.eu,guyverhofstadt,Q12978,http://www.europarl.europa.eu/meps/en/97058/_home.html,,,,,,,
Lieve,Wierinck,male,03/07/1957,61,Belgium,Nederlands Kiescollege,ALDE,FOR,AGAINST,-,AGAINST,FOR,AGAINST,FOR,AGAINST,Open Vlaamse Liberalen en Democraten,Open VLD,lieve.wierinck@europarl.europa.eu,lievewierinck,Q3238348,http://www.europarl.europa.eu/meps/en/183022/_home.html,,,,,,,
Asim,Ademov,male,03/12/1968,50,Bulgaria,-,EPP,FOR,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Citizens for European Development of Bulgaria,ГЕРБ,asim.ademov@ep.europa.eu,ademovasim,Q45237464,http://www.europarl.europa.eu/meps/en/189525/_home.html,,,,,,,
Nedzhmi,Ali,male,16/07/1972,46,Bulgaria,-,ALDE,FOR,AGAINST,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,FOR,Movement for Rights and Freedoms,ДПС,nedzhmi.ali@europarl.europa.eu,,Q3137902,http://www.europarl.europa.eu/meps/en/34250/_home.html,,,,,,,
Nikolay,Barekov,male,16/10/1972,46,Bulgaria,-,ECR,ABSTAINED,FOR,-,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,Reload Bulgaria Party,Презареди България,nikolay.barekov@europarl.europa.eu,nbarekov,Q12288663,http://www.europarl.europa.eu/meps/en/124871/_home.html,,,,,,,
Angel,Dzhambazki,male,21/03/1979,40,Bulgaria,-,ECR,AGAINST,FOR,-,FOR,AGAINST,AGAINST,AGAINST,FOR,VMRO,ВМРО–БНД,angel.dzhambazki@europarl.europa.eu,djambazki,Q12271852,http://www.europarl.europa.eu/meps/en/124873/_home.html,,,,,,,
Filiz,Hyusmenova,male,10/06/1966,52,Bulgaria,-,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,AGAINST,FOR,FOR,Movement for Rights and Freedoms,ДПС,filiz.hyusmenova@europarl.europa.eu,,Q446584,http://www.europarl.europa.eu/meps/en/34249/_home.html,,,,,,,
Peter,Kouroumbashev,male,28/01/1968,51,Bulgaria,-,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,VMRO,ВМРО–БНД,peter.kouroumbashev@europarl.europa.eu,pkouroumbashev,Q15987050,http://www.europarl.europa.eu/meps/en/124857/_home.html,,,,,,,
Andrey,Kovatchev,male,13/12/1967,51,Bulgaria,-,EPP,ABSTAINED,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Citizens for European Development of Bulgaria,ГЕРБ,andrey.kovatchev@europarl.europa.eu,andreykovatchev,Q4759190,http://www.europarl.europa.eu/meps/en/97968/_home.html,,,,,,,
Ilhan,Kyuchyuk,female,16/09/1985,33,Bulgaria,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,AGAINST,Movement for Rights and Freedoms,ДПС,ilhan.kyuchyuk@europarl.europa.eu,ilhankyuchyuk,Q17266806,http://www.europarl.europa.eu/meps/en/124866/_home.html,,,,,,,
Svetoslav Hristov,Malinov,male,19/01/1968,51,Bulgaria,-,EPP,AGAINST - CORRECTED,FOR,-,AGAINST,FOR,AGAINST,FOR,AGAINST,Democrats for Strong Bulgaria,ДСБ,svetoslav.malinov@europarl.europa.eu,svmalinov,Q557071,http://www.europarl.europa.eu/meps/en/111027/_home.html,,,,,,,
Eva,Maydell,male,26/01/1986,33,Bulgaria,-,EPP,ABSTAINED,FOR,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Citizens for European Development of Bulgaria,ГЕРБ,eva.maydell@europarl.europa.eu,evamaydell,Q17266811,http://www.europarl.europa.eu/meps/en/98341/_home.html,,,,,,,
Iskra,Mihaylova,female,07/09/1957,61,Bulgaria,-,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,AGAINST,FOR,NOT PRESENT,Movement for Rights and Freedoms,ДПС,iskra.mihaylova@europarl.europa.eu,iskra_mihaylova,Q17143283,http://www.europarl.europa.eu/meps/en/125128/_home.html,,,,,,,
Momchil,Nekov,male,13/05/1986,32,Bulgaria,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Bulgarian Socialist Party,БСП,momchil.nekov@europarl.europa.eu,momchilnekov,Q17266745,http://www.europarl.europa.eu/meps/en/125013/_home.html,,,,,,,
Andrey,Novakov,female,07/07/1988,30,Bulgaria,-,EPP,FOR - CORRECTED,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Citizens for European Development of Bulgaria,ГЕРБ,andrey.novakov@europarl.europa.eu,andreynovakov,Q18575732,http://www.europarl.europa.eu/meps/en/107212/_home.html,,,,,,,
Georgi,Pirinski,female,10/09/1948,70,Bulgaria,-,S&D,FOR,FOR,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,AGAINST,Bulgarian Socialist Party,БСП,georgi.pirinski@europarl.europa.eu,,Q1509254,http://www.europarl.europa.eu/meps/en/124855/_home.html,,,,,,,
Emil,Radev,male,26/05/1971,47,Bulgaria,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,NOT PRESENT,FOR,NOT PRESENT,Citizens for European Development of Bulgaria,ГЕРБ,emil.radev@europarl.europa.eu,emil_radev,Q17143079,http://www.europarl.europa.eu/meps/en/124850/_home.html,,,,,,,
Sergei,Stanishev,female,05/05/1966,52,Bulgaria,-,S&D,AGAINST - CORRECTED,NOT PRESENT,-,AGAINST,FOR,AGAINST,AGAINST,NOT PRESENT,Bulgarian Socialist Party,БСП,sergei.stanishev@europarl.europa.eu,sergeistanishev,Q202117,http://www.europarl.europa.eu/meps/en/124852/_home.html,,,,,,,
Vladimir,Urutchev,male,01/10/1954,64,Bulgaria,-,EPP,ABSTAINED,FOR,-,AGAINST,AGAINST,FOR,FOR,FOR,Citizens for European Development of Bulgaria,ГЕРБ,vladimir.urutchev@europarl.europa.eu,,Q121785,http://www.europarl.europa.eu/meps/en/38601/_home.html,,,,,,,
Biljana,Borzan,female,29/11/1971,47,Croatia,-,S&D,AGAINST - CORRECTED,FOR,-,AGAINST,AGAINST,AGAINST,ABSTAINED,AGAINST,Socijaldemokratska partija Hrvatske,SDP,biljana.borzan@europarl.europa.eu,biljanaborzan,Q11074254,http://www.europarl.europa.eu/meps/en/112748/_home.html,,,,,,,
Ivan,Jakovčić,male,15/11/1957,61,Croatia,-,ALDE,FOR,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Istarski demokratski sabor - Dieta democratica istriana,IDS-DDI,ivan.jakovcic@europarl.europa.eu,ivanjakovcic,Q3109021,http://www.europarl.europa.eu/meps/en/124754/_home.html,,,,,,,
Ivana,Maletić,male,12/10/1973,45,Croatia,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Hrvatska demokratska zajednica,HDZ,ivana.maletic@europarl.europa.eu,maleticivana,Q13107505,http://www.europarl.europa.eu/meps/en/119436/_home.html,,,,,,,
Marijana,Petir,male,04/10/1975,43,Croatia,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Independent,Independent,marijana.petir@europarl.europa.eu,marijana_petir,Q982428,http://www.europarl.europa.eu/meps/en/124749/_home.html,,,,,,,
Tonino,Picula,male,31/08/1961,57,Croatia,-,S&D,AGAINST,FOR,-,AGAINST,AGAINST,AGAINST,ABSTAINED,AGAINST,Socijaldemokratska partija Hrvatske,SDP,tonino.picula@europarl.europa.eu,tpicula,Q2617559,http://www.europarl.europa.eu/meps/en/112744/_home.html,,,,,,,
Jozo,Radoš,female,03/11/1956,62,Croatia,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Građansko Liberalni Savez,GLAS,jozo.rados@europarl.europa.eu,jozorados,Q3441723,http://www.europarl.europa.eu/meps/en/112753/_home.html,,,,,,,
Davor,Škrlec,male,01/01/1963,56,Croatia,-,Greens-EFA,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Independent,Independent,davor.skrlec@europarl.europa.eu,davorskrlec,Q17315720,http://www.europarl.europa.eu/meps/en/124756/_home.html,,,,,,,
Dubravka,Šuica,male,20/05/1957,61,Croatia,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Hrvatska demokratska zajednica,HDZ,dubravka.suica@europarl.europa.eu,dubravkasuica,Q299667,http://www.europarl.europa.eu/meps/en/119434/_home.html,,,,,,,
Ivica,Tolić,male,01/09/1968,50,Croatia,-,EPP,NOT PRESENT,NOT PRESENT,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,FOR,Hrvatska demokratska zajednica,HDZ,ivica.tolic@europarl.europa.eu,,Q27600131,http://www.europarl.europa.eu/meps/en/185340/_home.html,,,,,,,
Ruža,Tomašić,male,10/05/1958,60,Croatia,-,ECR,ABSTAINED,FOR,-,AGAINST,AGAINST,ABSTAINED,ABSTAINED,AGAINST,Hrvatska konzervativna stranka,HKS,ruza.tomasic@europarl.europa.eu,ruzatomasic,Q1260118,http://www.europarl.europa.eu/meps/en/119431/_home.html,,,,,,,
Željana,Zovko,female,25/03/1970,49,Croatia,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Hrvatska demokratska zajednica,HDZ,zeljana.zovko@europarl.europa.eu,zovkoeu,Q27666246,http://www.europarl.europa.eu/meps/en/185341/_home.html,,,,,,,
Lefteris,Christoforou,female,31/08/1963,55,Cyprus,-,EPP,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Democratic Rally,ΔΗΣΥ/DISY,lefteris.christoforou@europarl.europa.eu,lefchristoforou,Q16571128,http://www.europarl.europa.eu/meps/en/26837/_home.html,,,,,,,
Takis,Hadjigeorgiou,male,11/12/1956,62,Cyprus,-,GUE-NGL,AGAINST,FOR,-,FOR,FOR,AGAINST,ABSTAINED,ABSTAINED,Progressive Party of Working People - Left - New Forces,ΑΚΕΛ/AKEL,takis.hadjigeorgiou@europarl.europa.eu,thadjigeorgiou,Q545492,http://www.europarl.europa.eu/meps/en/96907/_home.html,,,,,,,
Costas,Mavrides,male,27/05/1962,56,Cyprus,-,S&D,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Democratic Party,ΔΗΚΟ/DIKO,costas.mavrides@europarl.europa.eu,,Q17265935,http://www.europarl.europa.eu/meps/en/124691/_home.html,,,,,,,
Demetris,Papadakis,male,22/08/1966,52,Cyprus,-,S&D,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Movement for Social Democracy EDEK,ΕΔΕΚ/EDEK,demetris.papadakis@europarl.europa.eu,dempapadakis,Q17315553,http://www.europarl.europa.eu/meps/en/124692/_home.html,,,,,,,
Neoklis,Sylikiotis,male,04/01/1959,60,Cyprus,-,GUE-NGL,NOT PRESENT,NOT PRESENT,-,FOR,FOR,AGAINST,ABSTAINED,AGAINST,Progressive Party of Working People - Left - New Forces,ΑΚΕΛ/AKEL,neoklis.sylikiotis@europarl.europa.eu,sylikiotis,Q16330441,http://www.europarl.europa.eu/meps/en/124689/_home.html,,,,,,,
Eleni,Theocharous,male,24/06/1953,65,Cyprus,-,ECR,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Independent,Independent,eleni.theocharous@europarl.europa.eu,theocharouse,Q468077,http://www.europarl.europa.eu/meps/en/25704/_home.html,,,,,,,
Dita,Charanzová,male,30/04/1975,43,Czech Republic,-,ALDE,ABSTAINED,FOR - CORRECTED,-,AGAINST,FOR,AGAINST,ABSTAINED,ABSTAINED,ANO 2011,ANO,dita.charanzova@europarl.europa.eu,charanzova,Q15870693,http://www.europarl.europa.eu/meps/en/124708/_home.html,,,,,,,
Martina,Dlabajová,female,26/07/1976,42,Czech Republic,-,ALDE,ABSTAINED,FOR - CORRECTED,-,AGAINST,FOR,AGAINST,ABSTAINED,ABSTAINED,ANO 2011,ANO,martina.dlabajova@europarl.europa.eu,mdlabajova,Q15870687,http://www.europarl.europa.eu/meps/en/124709/_home.html,,,,,,,
Petr,Ježek,male,28/03/1965,53,Czech Republic,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,ABSTAINED,AGAINST,ANO 2011,ANO,petr.jezek@europarl.europa.eu,jezekcz,Q15817642,http://www.europarl.europa.eu/meps/en/124707/_home.html,,,,,,,
Jan,Keller,female,23/01/1955,64,Czech Republic,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,NOT PRESENT,Česká strana sociálně demokratická,ČSSD,jan.keller@europarl.europa.eu,,Q3491839,http://www.europarl.europa.eu/meps/en/124695/_home.html,,,,,,,
Jaromír,Kohlíček,female,23/02/1953,66,Czech Republic,-,GUE-NGL,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,Komunistická strana Čech a Moravy,KSČM,jaromir.kohlicek@ep.europa.eu,kohlicekjaromir,Q1399081,http://www.europarl.europa.eu/meps/en/28331/_home.html,,,,,,,
Kateřina,Konečná,male,20/01/1981,38,Czech Republic,-,GUE-NGL,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Komunistická strana Čech a Moravy,KSČM,katerina.konecna@europarl.europa.eu,,Q12028942,http://www.europarl.europa.eu/meps/en/23699/_home.html,,,,,,,
Jiří,Maštálka,male,03/01/1956,63,Czech Republic,-,GUE-NGL,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,Komunistická strana Čech a Moravy,KSČM,jiri.mastalka@europarl.europa.eu,jirimastalka,Q1399066,http://www.europarl.europa.eu/meps/en/23704/_home.html,,,,,,,
Luděk,Niedermayer,male,13/03/1966,53,Czech Republic,-,EPP,ABSTAINED,FOR,-,AGAINST,ABSTAINED,FOR,FOR,ABSTAINED,TOP 09 a Starostové,TOP 09,ludek.niedermayer@europarl.europa.eu,ludeknie,Q15742179,http://www.europarl.europa.eu/meps/en/124701/_home.html,,,,,,,
Jiří,Payne,female,07/07/1956,62,Czech Republic,-,EFDD,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Strana svobodných občanů,Svobodní,jiri.payne@ep.europa.eu,jtp07,Q12025429,http://www.europarl.europa.eu/meps/en/189507/_home.html,,,,,,,
Pavel,Poc,male,26/05/1964,54,Czech Republic,-,S&D,NOT PRESENT,NOT PRESENT,-,AGAINST,FOR,AGAINST,FOR,ABSTAINED,Česká strana sociálně demokratická,ČSSD,pavel.poc@europarl.europa.eu,pavelpoc,Q535283,http://www.europarl.europa.eu/meps/en/96715/_home.html,,,,,,,
