First Name,Last Name,Gender,Date of Birth,Age,Country,Jurisdiction,Political_Group,_26_March_2019_Final_Vote,26 March 2019 Procedural Vote,Pledge 2019,Sept 18 Vote DELETE,Sept 18 Vote IMCO,Sept 18 Vote VOSS,Sept 18 Vote REPORT,June 18 Vote Negotiations,National_Political_Group,National Political Group (Short),Email,Twitter,Wikidata code,EP Webpage,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
Innocenzo,Leontini,female,25/05/1959,59,Italy,Insulare,ECR,FOR,AGAINST,-,AGAINST,AGAINST,NOT PRESENT,NOT PRESENT,NOT PRESENT,Forza Italia,FI,innocenzo.leontini@europarl.europa.eu,ileontini,Q3798977,http://www.europarl.europa.eu/meps/en/72754/_home.html,,,,,,,
Stefano,Maullu,male,15/03/1962,57,Italy,Nord-Occidentale,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Forza Italia,FI,stefano.maullu@europarl.europa.eu,stefanomaullu,Q20668367,http://www.europarl.europa.eu/meps/en/133326/_home.html,,,,,,,
Remo,Sernagiotto,male,01/09/1955,63,Italy,Nord-Orientale,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Conservatori e Riformisti,CoR,remo.sernagiotto@europarl.europa.eu,SernagiottoRemo,Q7312043,http://www.europarl.europa.eu/meps/en/124794/_home.html,,,,,,,
Roberts,Zīle,male,20/06/1958,60,Latvia,-,ECR,FOR,AGAINST,-,AGAINST,FOR,FOR,FOR,FOR,Nacionālā apvienība Visu Latvijai! - Tēvzemei un Brīvībai/LNNK,,roberts.zile@europarl.europa.eu,robertszile,Q969701,http://www.europarl.europa.eu/meps/en/28615/_home.html,,,,,,,
Amjad,Bashir,male,17/09/1952,66,United Kingdom,Yorkshire and the Humber,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Conservative Party,CP,amjad.bashir@europarl.europa.eu,AmjadBashirMEP,Q16976943,http://www.europarl.europa.eu/meps/en/124956/_home.html,,,,,,,
David,Campbell Bannerman,female,28/05/1960,58,United Kingdom,Eastern Region,ECR,FOR,FOR,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Conservative Party,CP,david.campbellbannerman@europarl.europa.eu,,Q546231,http://www.europarl.europa.eu/meps/en/96912/_home.html,,,,,,,
Nirj,Deva,female,11/05/1948,70,United Kingdom,South East,ECR,FOR,FOR,-,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,Conservative Party,CP,nirj.deva@europarl.europa.eu,,Q334019,http://www.europarl.europa.eu/meps/en/4556/_home.html,,,,,,,
Jacqueline,Foster,female,30/12/1947,71,United Kingdom,North West,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Conservative Party,CP,jacqueline.foster@europarl.europa.eu,jfoster2019,Q463699,http://www.europarl.europa.eu/meps/en/4553/_home.html,,,,,,,
Ashley,Fox,female,15/11/1969,49,United Kingdom,South West Region,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Conservative Party,CP,ashley.fox@europarl.europa.eu,,Q457673,http://www.europarl.europa.eu/meps/en/96957/_home.html,,,,,,,
Sajjad,Karim,male,11/07/1970,48,United Kingdom,North West,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Conservative Party,CP,sajjad.karim@europarl.europa.eu,SHKMEP,Q741344,http://www.europarl.europa.eu/meps/en/28481/_home.html,,,,,,,
Rupert,Matthews,female,05/12/1961,57,United Kingdom,East Midlands Region,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Conservative Party,CP,rupert.matthews@europarl.europa.eu,,Q3453279,http://www.europarl.europa.eu/meps/en/188622/_home.html,,,,,,,
Emma,Mcclarkin,male,09/10/1978,40,United Kingdom,East Midlands Region,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Conservative Party,CP,emma.mcclarkin@europarl.europa.eu,EmmaMcClarkin,Q126452,http://www.europarl.europa.eu/meps/en/96919/_home.html,,,,,,,
Anthea,Mcintyre,female,29/06/1954,64,United Kingdom,West Midlands,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Conservative Party,CP,anthea.mcintyre@europarl.europa.eu,,Q441543,http://www.europarl.europa.eu/meps/en/111011/_home.html,,,,,,,
Baroness Nosheena,Mobarik,female,16/10/1957,61,United Kingdom,Scotland,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,ABSTAINED,Conservative Party,CP,nosheena.mobarik@ep.europa.eu,NosheenaMobarik,Q18211172,http://www.europarl.europa.eu/meps/en/189391/_home.html,,,,,,,
James,Nicholson,male,29/01/1945,74,United Kingdom,Northern Ireland,ECR,FOR,AGAINST - CORRECTED,-,AGAINST,AGAINST,FOR,FOR,FOR,Ulster Unionist Party,UUP,james.nicholson@europarl.europa.eu,JNicholsonMEP,Q333729,http://www.europarl.europa.eu/meps/en/1318/_home.html,,,,,,,
Kay,Swinburne,female,08/06/1967,51,United Kingdom,Wales,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Conservative Party,CP,kay.swinburne@europarl.europa.eu,,Q468023,http://www.europarl.europa.eu/meps/en/96920/_home.html,,,,,,,
Charles,Tannock,female,25/09/1957,61,United Kingdom,London,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Conservative Party,CP,charles.tannock@europarl.europa.eu,,Q706751,http://www.europarl.europa.eu/meps/en/4521/_home.html,,,,,,,
Geoffrey,Van Orden,female,10/04/1945,73,United Kingdom,Eastern Region,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Conservative Party,CP,geoffrey.vanorden@europarl.europa.eu,,Q1503075,http://www.europarl.europa.eu/meps/en/4513/_home.html,,,,,,,
Pascal,Arimont,female,25/09/1974,44,Belgium,Collège électoral germanophone,EPP,AGAINST,FOR,-,AGAINST,ABSTAINED,FOR,FOR,FOR,Christlich Soziale Partei,CSP,pascal.arimont@europarl.europa.eu,pascalarimont,Q1614514,http://www.europarl.europa.eu/meps/en/24922/_home.html,,,,,,,
Jiří,Pospíšil,male,24/11/1975,43,Czech Republic,-,EPP,AGAINST,FOR,-,ABSTAINED,FOR,ABSTAINED,FOR,ABSTAINED,TOP 09 a Starostové,TOP 09,jiri.pospisil@europarl.europa.eu,Pospisil_Jiri,Q962333,http://www.europarl.europa.eu/meps/en/125706/_home.html,,,,,,,
Tomáš,Zdechovský,male,02/11/1979,39,Czech Republic,-,EPP,AGAINST,FOR,YES,AGAINST,AGAINST,FOR,FOR,AGAINST,Křesťanská a demokratická unie - Československá strana lidová,KDU-ČSL,tomas.zdechovsky@europarl.europa.eu,TomZdechovsky,Q12059351,http://www.europarl.europa.eu/meps/en/124713/_home.html,,,,,,,
Hermann,Winkler,male,22/04/1963,55,Germany,-,EPP,AGAINST,FOR,-,AGAINST,AGAINST,FOR,FOR,ABSTAINED,Christlich Demokratische Union Deutschlands,CDU,hermann.winkler@europarl.europa.eu,,Q90995,http://www.europarl.europa.eu/meps/en/96764/_home.html,,,,,,,
Georges,Bach,female,12/06/1955,63,Luxembourg,-,EPP,AGAINST,FOR,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti chrétien social luxembourgeois,CSV/PCS,georges.bach@europarl.europa.eu,,Q981276,http://www.europarl.europa.eu/meps/en/97293/_home.html,,,,,,,
Frank,Engel,male,10/05/1975,43,Luxembourg,-,EPP,AGAINST,FOR,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti chrétien social luxembourgeois,CSV/PCS,frank.engel@europarl.europa.eu,,Q470838,http://www.europarl.europa.eu/meps/en/96876/_home.html,,,,,,,
Christophe,Hansen,male,21/02/1982,37,Luxembourg,-,EPP,AGAINST,FOR,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Parti chrétien social luxembourgeois,CSV/PCS,christophe.hansen@europarl.europe.eu,chanseneu,Q56460787,http://www.europarl.europa.eu/meps/en/193419/_home.html,,,,,,,
David,Casa,male,16/11/1968,50,Malta,-,EPP,AGAINST,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partit Nazzjonalista,PN,david.casa@europarl.europa.eu,DavidCasaMEP,Q578504,http://www.europarl.europa.eu/meps/en/28122/_home.html,,,,,,,
Roberta,Metsola,male,18/01/1979,40,Malta,-,EPP,AGAINST,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partit Nazzjonalista,PN,roberta.metsola@europarl.europa.eu,RobertaMetsola,Q7351526,http://www.europarl.europa.eu/meps/en/118859/_home.html,,,,,,,
Michał,Boni,male,10/06/1954,64,Poland,-,EPP,AGAINST,FOR,YES,AGAINST,FOR,ABSTAINED,FOR,AGAINST,Platforma Obywatelska,PO,michal.boni@europarl.europa.eu,MichalBoni,Q535780,http://www.europarl.europa.eu/meps/en/124896/_home.html,,,,,,,
Andrzej,Grzyb,female,23/08/1956,62,Poland,-,EPP,AGAINST,FOR,-,AGAINST,AGAINST,FOR,AGAINST,AGAINST,Polskie Stronnictwo Ludowe,PSL,andrzej.grzyb@europarl.europa.eu,GrzybAndrzej,Q4759608,http://www.europarl.europa.eu/meps/en/23785/_home.html,,,,,,,
Krzysztof,Hetman,female,27/06/1974,44,Poland,-,EPP,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Polskie Stronnictwo Ludowe,PSL,krzysztof.hetman@europarl.europa.eu,hetman_k,Q11749266,http://www.europarl.europa.eu/meps/en/124895/_home.html,,,,,,,
Jarosław,Kalinowski,male,12/04/1962,56,Poland,-,EPP,AGAINST,FOR,-,AGAINST,AGAINST,FOR,AGAINST,AGAINST,Polskie Stronnictwo Ludowe,PSL,jaroslaw.kalinowski@europarl.europa.eu,,Q3672035,http://www.europarl.europa.eu/meps/en/96771/_home.html,,,,,,,
Czesław Adam,Siekierski,female,08/10/1952,66,Poland,-,EPP,AGAINST,FOR,-,AGAINST,ABSTAINED,FOR,AGAINST,AGAINST,Polskie Stronnictwo Ludowe,PSL,czeslaw.siekierski@europarl.europa.eu,CzSiekierski,Q6271409,http://www.europarl.europa.eu/meps/en/23787/_home.html,,,,,,,
Adam,Szejnfeld,male,13/11/1958,60,Poland,-,EPP,AGAINST,FOR,-,AGAINST,FOR,FOR,FOR,AGAINST,Platforma Obywatelska,PO,adam.szejnfeld@europarl.europa.eu,szejnfeld,Q351039,http://www.europarl.europa.eu/meps/en/124890/_home.html,,,,,,,
Róża Gräfin,von Thun Und Hohenstein,male,13/04/1954,64,Poland,-,EPP,AGAINST,FOR,-,AGAINST,FOR,FOR,FOR,AGAINST,Platforma Obywatelska,PO,roza.thun@europarl.europa.eu,rozathun,Q274125,http://www.europarl.europa.eu/meps/en/96776/_home.html,,,,,,,
Traian,Ungureanu,female,01/03/1958,61,Romania,-,EPP,AGAINST,FOR,-,AGAINST,AGAINST,FOR,ABSTAINED,AGAINST,Partidul Naţional Liberal,PNL,traian.ungureanu@europarl.europa.eu,TraianUngureanu,Q9360698,http://www.europarl.europa.eu/meps/en/96835/_home.html,,,,,,,
Adina-Ioana,Vălean,female,16/02/1968,51,Romania,-,EPP,AGAINST,FOR,-,AGAINST,FOR,FOR,FOR,AGAINST,Partidul Naţional Liberal,PNL,adinaioana.valean@europarl.europa.eu,AdinaValean,Q274739,http://www.europarl.europa.eu/meps/en/37324/_home.html,,,,,,,
Patricija,Šulin,female,25/11/1965,53,Slovenia,-,EPP,AGAINST,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,ABSTAINED,Slovenska demokratska stranka,SDS,patricija.sulin@europarl.europa.eu,PatricijaSulin,Q12798364,http://www.europarl.europa.eu/meps/en/125103/_home.html,,,,,,,
Romana,Tomc,female,02/11/1965,53,Slovenia,-,EPP,AGAINST,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Slovenska demokratska stranka,SDS,romana.tomc@europarl.europa.eu,RomanaTomc,Q16089810,http://www.europarl.europa.eu/meps/en/125104/_home.html,,,,,,,
Milan,Zver,male,25/05/1962,56,Slovenia,-,EPP,AGAINST,AGAINST,-,AGAINST,AGAINST,FOR,FOR,ABSTAINED,Slovenska demokratska stranka,SDS,milan.zver@europarl.europa.eu,MilanZver,Q1628512,http://www.europarl.europa.eu/meps/en/96933/_home.html,,,,,,,
Christofer,Fjellner,male,13/12/1976,42,Sweden,-,EPP,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Moderaterna,M,christofer.fjellner@europarl.europa.eu,Fjellner,Q666114,http://www.europarl.europa.eu/meps/en/28126/_home.html,,,,,,,
Gunnar,Hökmark,male,19/09/1952,66,Sweden,-,EPP,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Moderaterna,M,gunnar.hokmark@europarl.europa.eu,ghokmark,Q1357206,http://www.europarl.europa.eu/meps/en/28124/_home.html,,,,,,,
Anders,Sellström,male,19/03/1964,55,Sweden,-,EPP,AGAINST,FOR,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,Kristdemokraterna,KD,anders.sellstrom@europarl.europa.eu,ASellstroem,Q6172463,http://www.europarl.europa.eu/meps/en/194658/_home.html,,,,,,,
Eugen,Freund,Male,15/04/1951,67,Austria,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Österreichs,SPÖ,eugen.freund@europarl.europa.eu,EugenAFreund,Q1372517,http://www.europarl.europa.eu/meps/en/125018/_home.html,,,,,,,
Karoline,Graswander-Hainz,Female,02/02/1974,45,Austria,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Österreichs,SPÖ,karoline.graswander-hainz@europarl.europa.eu,graswanderhainz,Q20656233,http://www.europarl.europa.eu/meps/en/133316/_home.html,,,,,,,
Evelyn,Regner,Female,24/01/1966,53,Austria,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Österreichs,SPÖ,evelyn.regner@europarl.europa.eu,Evelyn_Regner,Q87549,http://www.europarl.europa.eu/meps/en/96998/_home.html,,,,,,,
Josef,Weidenholzer,Male,06/03/1950,69,Austria,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Österreichs,SPÖ,josef.weidenholzer@europarl.europa.eu,Weidenholzer,Q86829,http://www.europarl.europa.eu/meps/en/111014/_home.html,,,,,,,
Momchil,Nekov,male,13/05/1986,32,Bulgaria,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Bulgarian Socialist Party,БСП,momchil.nekov@europarl.europa.eu,momchilnekov,Q17266745,http://www.europarl.europa.eu/meps/en/125013/_home.html,,,,,,,
Tonino,Picula,male,31/08/1961,57,Croatia,-,S&D,AGAINST,FOR,-,AGAINST,AGAINST,AGAINST,ABSTAINED,AGAINST,Socijaldemokratska partija Hrvatske,SDP,tonino.picula@europarl.europa.eu,TPicula,Q2617559,http://www.europarl.europa.eu/meps/en/112744/_home.html,,,,,,,
Jan,Keller,female,23/01/1955,64,Czech Republic,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,NOT PRESENT,Česká strana sociálně demokratická,ČSSD,jan.keller@europarl.europa.eu,,Q3491839,http://www.europarl.europa.eu/meps/en/124695/_home.html,,,,,,,
Olga,Sehnalová,male,25/10/1968,50,Czech Republic,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Česká strana sociálně demokratická,ČSSD,olga.sehnalova@europarl.europa.eu,OlgaSehnalova,Q11797891,http://www.europarl.europa.eu/meps/en/96718/_home.html,,,,,,,
Ivari,Padar,male,12/03/1965,54,Estonia,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,AGAINST,Sotsiaaldemokraatlik Erakond,SDE,ivari.padar@ep.europa.eu,,Q1398025,http://www.europarl.europa.eu/meps/en/97025/_home.html,,,,,,,
Udo,Bullmann,male,08/06/1956,62,Germany,-,S&D,AGAINST,FOR,-,AGAINST,NOT PRESENT,NOT PRESENT,FOR,NOT PRESENT,Sozialdemokratische Partei Deutschlands,SPD,udo.bullmann@europarl.europa.eu,UdoBullmann,Q449080,http://www.europarl.europa.eu/meps/en/4267/_home.html,,,,,,,
Michael,Detjen,male,28/04/1958,60,Germany,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,michael.detjen@ep.europa.eu,MichaelDetjen,Q47271098,http://www.europarl.europa.eu/meps/en/190799/_home.html,,,,,,,
Ismail,Ertug,male,05/12/1975,43,Germany,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,ismail.ertug@europarl.europa.eu,IsmailErtug,Q75194,http://www.europarl.europa.eu/meps/en/96842/_home.html,,,,,,,
Evelyne,Gebhardt,male,19/01/1954,65,Germany,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,evelyne.gebhardt@europarl.europa.eu,egebhardtmdep,Q74191,http://www.europarl.europa.eu/meps/en/1913/_home.html,,,,,,,
Jens,Geier,male,22/06/1961,57,Germany,-,S&D,AGAINST,FOR,-,AGAINST,NOT PRESENT,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,jens.geier@europarl.europa.eu,EuropaJens,Q95758,http://www.europarl.europa.eu/meps/en/96833/_home.html,,,,,,,
Petra,Kammerevert,male,01/06/1966,52,Germany,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,petra.kammerevert@europarl.europa.eu,SPDEuropa,Q92274,http://www.europarl.europa.eu/meps/en/96837/_home.html,,,,,,,
Sylvia-Yvonne,Kaufmann,male,23/01/1955,64,Germany,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,sylvia-yvonne.kaufmann@europarl.europa.eu,KaufmannSylvia,Q74165,http://www.europarl.europa.eu/meps/en/1849/_home.html,,,,,,,
Arndt,Kohn,male,03/09/1980,38,Germany,-,S&D,AGAINST,FOR,YES,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,arndt.kohn@europarl.europa.eu,,Q28869827,http://www.europarl.europa.eu/meps/en/186884/_home.html,,,,,,,
Dietmar,Köster,male,06/01/1957,62,Germany,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,dietmar.koester@europarl.europa.eu,,Q16999729,http://www.europarl.europa.eu/meps/en/124822/_home.html,,,,,,,
Constanze,Krehl,female,14/10/1956,62,Germany,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,constanze.krehl@europarl.europa.eu,ConstanzeKrehl,Q71660,http://www.europarl.europa.eu/meps/en/1854/_home.html,,,,,,,
Bernd,Lange,female,14/11/1955,63,Germany,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,bernd.lange@europarl.europa.eu,berndlange,Q65437,http://www.europarl.europa.eu/meps/en/1909/_home.html,,,,,,,
Arne,Lietz,female,23/07/1976,42,Germany,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,arne.lietz@europarl.europa.eu,ArneLietz,Q16943361,http://www.europarl.europa.eu/meps/en/124839/_home.html,,,,,,,
Susanne,Melior,male,01/09/1958,60,Germany,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,susanne.melior@europarl.europa.eu,,Q2369382,http://www.europarl.europa.eu/meps/en/124838/_home.html,,,,,,,
Norbert,Neuser,female,22/03/1949,70,Germany,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,norbert.neuser@europarl.europa.eu,,Q104492,http://www.europarl.europa.eu/meps/en/96844/_home.html,,,,,,,
Maria,Noichl,male,09/01/1967,52,Germany,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,maria.noichl@europarl.europa.eu,,Q1112658,http://www.europarl.europa.eu/meps/en/124836/_home.html,,,,,,,
Ulrike,Rodust,male,04/06/1949,69,Germany,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,NOT PRESENT,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,ulrike.rodust@europarl.europa.eu,UlrikeRodust,Q124965,http://www.europarl.europa.eu/meps/en/93624/_home.html,,,,,,,
Joachim,Schuster,female,28/10/1962,56,Germany,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,joachim.schuster@europarl.europa.eu,,Q1499562,http://www.europarl.europa.eu/meps/en/124837/_home.html,,,,,,,
Peter,Simon,female,04/04/1967,51,Germany,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,peter.simon@europarl.europa.eu,PeterSimonMEP,Q102421,http://www.europarl.europa.eu/meps/en/96836/_home.html,,,,,,,
Birgit,Sippel,female,29/01/1960,59,Germany,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,birgit.sippel@europarl.europa.eu,BirgitSippelMEP,Q108736,http://www.europarl.europa.eu/meps/en/96932/_home.html,,,,,,,
Martina,Werner,female,28/12/1961,57,Germany,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,ABSTAINED,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,martina.werner@europarl.europa.eu,,Q17117409,http://www.europarl.europa.eu/meps/en/124826/_home.html,,,,,,,
Kerstin,Westphal,female,11/09/1962,56,Germany,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,kerstin.westphal@europarl.europa.eu,WestphalKerstin,Q104881,http://www.europarl.europa.eu/meps/en/96839/_home.html,,,,,,,
Tiemo,Wölken,male,05/12/1985,33,Germany,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,tiemo.woelken@europarl.europa.eu,woelken,Q27903982,http://www.europarl.europa.eu/meps/en/185619/_home.html,,,,,,,
Péter,Niedermüller,female,03/09/1952,66,Hungary,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Demokratikus Koalíció,DK,peter.niedermueller@europarl.europa.eu,PNiedermueller,Q17315558,http://www.europarl.europa.eu/meps/en/124723/_home.html,,,,,,,
Tibor,Szanyi,male,13/07/1956,62,Hungary,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,ABSTAINED,AGAINST,Magyar Szocialista Párt,MSZP,tibor.szanyi@europarl.europa.eu,szanyitibor,Q1294674,http://www.europarl.europa.eu/meps/en/124703/_home.html,,,,,,,
Nessa,Childers,female,09/10/1956,62,Ireland,Dublin,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Independent,Independent,nessa.childers@europarl.europa.eu,NChildersMEP,Q525282,http://www.europarl.europa.eu/meps/en/96603/_home.html,,,,,,,
