First Name,Last Name,Gender,Age,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Ivan,Jakovčić,male,61.0,Croatia,ALDE,FOR,Istarski demokratski sabor - Dieta democratica istriana
Ivana,Maletić,male,45.0,Croatia,EPP,FOR,Hrvatska demokratska zajednica
Marijana,Petir,male,43.0,Croatia,EPP,FOR,Independent
Tonino,Picula,male,57.0,Croatia,S&D,AGAINST,Socijaldemokratska partija Hrvatske
Davor,Škrlec,male,56.0,Croatia,Greens-EFA,AGAINST,Independent
Dubravka,Šuica,male,61.0,Croatia,EPP,FOR,Hrvatska demokratska zajednica
Ivica,Tolić,male,50.0,Croatia,EPP,NOT PRESENT,Hrvatska demokratska zajednica
Ruža,Tomašić,male,60.0,Croatia,ECR,ABSTAINED,Hrvatska konzervativna stranka
Takis,Hadjigeorgiou,male,62.0,Cyprus,GUE-NGL,AGAINST,Progressive Party of Working People - Left - New Forces
Costas,Mavrides,male,56.0,Cyprus,S&D,NOT PRESENT,Democratic Party
Demetris,Papadakis,male,52.0,Cyprus,S&D,NOT PRESENT,Movement for Social Democracy EDEK
Neoklis,Sylikiotis,male,60.0,Cyprus,GUE-NGL,NOT PRESENT,Progressive Party of Working People - Left - New Forces
Eleni,Theocharous,male,65.0,Cyprus,ECR,NOT PRESENT,Independent
Dita,Charanzová,male,43.0,Czech Republic,ALDE,ABSTAINED,ANO 2011
Petr,Ježek,male,53.0,Czech Republic,ALDE,AGAINST,ANO 2011
Kateřina,Konečná,male,38.0,Czech Republic,GUE-NGL,AGAINST,Komunistická strana Čech a Moravy
Jiří,Maštálka,male,63.0,Czech Republic,GUE-NGL,AGAINST,Komunistická strana Čech a Moravy
Luděk,Niedermayer,male,53.0,Czech Republic,EPP,ABSTAINED,TOP 09 a Starostové
Pavel,Poc,male,54.0,Czech Republic,S&D,NOT PRESENT,Česká strana sociálně demokratická
Jiří,Pospíšil,male,43.0,Czech Republic,EPP,AGAINST,TOP 09 a Starostové
Olga,Sehnalová,male,50.0,Czech Republic,S&D,AGAINST,Česká strana sociálně demokratická
Michaela,Šojdrová,male,55.0,Czech Republic,EPP,FOR,Křesťanská a demokratická unie - Československá strana lidová
Jaromír,Štětina,male,75.0,Czech Republic,EPP,NOT PRESENT,TOP 09 a Starostové
Pavel,Svoboda,male,56.0,Czech Republic,EPP,FOR,Křesťanská a demokratická unie - Československá strana lidová
Tomáš,Zdechovský,male,39.0,Czech Republic,EPP,AGAINST,Křesťanská a demokratická unie - Československá strana lidová
Margrete,Auken,male,74.0,Denmark,Greens-EFA,AGAINST,Socialistisk Folkeparti
Bendt,Bendtsen,male,65.0,Denmark,EPP,FOR,Det Konservative Folkeparti
Jørn,Dohrmann,male,50.0,Denmark,ECR,NOT PRESENT,Dansk Folkeparti
Rina Ronja,Kari,male,34.0,Denmark,GUE-NGL,AGAINST,Folkebevægelsen mod EU
Rikke-Louise,Karlsson,male,53.0,Denmark,Non-attached,FOR,Independent
Jeppe,Kofod,male,45.0,Denmark,S&D,FOR,Socialdemokratiet
Morten,Løkkegaard,male,54.0,Denmark,ALDE,FOR,Venstre
Morten,Messerschmidt,male,38.0,Denmark,ECR,FOR,Dansk Folkeparti
Morten Helveg,Petersen,male,52.0,Denmark,ALDE,FOR,Det Radikale Venstre
Anders Primdahl,Vistisen,male,31.0,Denmark,ECR,FOR,Dansk Folkeparti
Igor,Gräzin,male,66.0,Estonia,ALDE,AGAINST,Eesti Reformierakond
Tunne,Kelam,male,82.0,Estonia,EPP,FOR,Erakond Isamaa ja Res Publica Liit
Ivari,Padar,male,54.0,Estonia,S&D,AGAINST,Sotsiaaldemokraatlik Erakond
Urmas,Paet,male,44.0,Estonia,ALDE,ABSTAINED,Eesti Reformierakond
Indrek,Tarand,male,55.0,Estonia,Greens-EFA,AGAINST,Sõltumatu
Jussi,Halla-Aho,male,47.0,Finland,ECR,AGAINST,Perussuomalaiset
Heidi,Hautala,male,63.0,Finland,Greens-EFA,AGAINST,Vihreä liitto
Liisa,Jaakonsaari,male,73.0,Finland,S&D,FOR,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
Miapetra,Kumpula-Natri,male,46.0,Finland,S&D,FOR,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
Merja,Kyllönen,male,42.0,Finland,GUE-NGL,FOR,Vasemmistoliitto
Sirpa,Pietikäinen,male,59.0,Finland,EPP,FOR - CORRECTED,Kansallinen Kokoomus
Pirkko,Ruohonen-Lerner,male,62.0,Finland,ECR,AGAINST,Perussuomalaiset
Petri,Sarvamaa,male,58.0,Finland,EPP,FOR,Kansallinen Kokoomus
Mirja,Vehkaperä,male,42.0,Finland,ALDE,FOR,Suomen Keskusta
Henna,Virkkunen,male,46.0,Finland,EPP,FOR,Kansallinen Kokoomus
Michèle,Alliot-Marie,male,72.0,France,EPP,FOR,Les Républicains
Eric,Andrieu,male,58.0,France,S&D,FOR,Parti socialiste
Marie-Christine,Arnautu,male,66.0,France,ENF,FOR,Rassemblement national
Jean,Arthuis,male,74.0,France,ALDE,FOR,Union des Démocrates et Indépendants
Nicolas,Bay,male,41.0,France,ENF,FOR,Rassemblement national
Aymeric,Chauprade,male,50.0,France,EFDD,FOR,Les Français Libres
Jacques,Colombier,male,67.0,France,ENF,FOR,Rassemblement national
Rachida,Dati,male,53.0,France,EPP,FOR,Les Républicains
Karima,Delli,male,40.0,France,Greens-EFA,ABSTAINED,Europe écologie
Geoffroy,Didier,male,42.0,France,EPP,FOR,Les Républicains
Mireille,D'Ornano,male,67.0,France,EFDD,FOR,Rassemblement national
Nathalie,Griesbeck,male,62.0,France,ALDE,NOT PRESENT,Mouvement Démocrate
Françoise,Grossetête,male,72.0,France,EPP,FOR,Les Républicains
Sylvie,Guillaume,male,56.0,France,S&D,FOR,Parti socialiste
Brice,Hortefeux,male,60.0,France,EPP,FOR,Les Républicains
Yannick,Jadot,male,51.0,France,Greens-EFA,ABSTAINED,Europe écologie
Jean-François,Jalkh,male,61.0,France,ENF,FOR,Rassemblement national
France,Jamet,male,58.0,France,ENF,FOR,Rassemblement national
Eva,Joly,male,75.0,France,Greens-EFA,ABSTAINED,Europe écologie
Marc,Joulaud,male,51.0,France,EPP,FOR,Les Républicains
Jérôme,Lavrilleux,male,49.0,France,EPP,FOR,Sans étiquette
Jean-Marie,Le Pen,male,90.0,France,Non-attached,NOT PRESENT,Rassemblement national
Philippe,Loiseau,male,61.0,France,ENF,FOR,Rassemblement national
Emmanuel,Maurel,male,45.0,France,GUE-NGL,FOR,Parti socialiste
Joëlle,Mélin,male,69.0,France,ENF,FOR,Rassemblement national
Bernard,Monot,male,56.0,France,EFDD,FOR,Rassemblement national
Elisabeth,Morin-Chartier,male,71.0,France,EPP,FOR,Les Républicains
Renaud,Muselier,male,59.0,France,EPP,FOR,Les Républicains
Gilles,Pargneaux,male,62.0,France,S&D,NOT PRESENT,Parti socialiste
Vincent,Peillon,male,58.0,France,S&D,FOR,Parti socialiste
Florian,Philippot,male,37.0,France,EFDD,NOT PRESENT,Rassemblement national
Maurice,Ponga,male,71.0,France,EPP,NOT PRESENT,Les Républicains
Franck,Proust,male,55.0,France,EPP,FOR,Les Républicains
Dominique,Riquet,male,72.0,France,ALDE,FOR,Parti Radical - UDI
Michèle,Rivasi,male,66.0,France,Greens-EFA,ABSTAINED,Europe écologie
Robert,Rochefort,male,63.0,France,ALDE,FOR,Mouvement Démocrate
Virginie,Rozière,male,42.0,France,S&D,FOR,Parti radical de gauche
Tokia,Saïfi,male,59.0,France,EPP,FOR,Les Républicains
Jean-Luc,Schaffhauser,male,63.0,France,ENF,FOR,Rassemblement bleu Marine
Marie-Pierre,Vieu,male,52.0,France,GUE-NGL,FOR,Front de Gauche
Reimer,Böge,male,67.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Elmar,Brok,male,72.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Klaus,Buchner,male,78.0,Germany,Greens-EFA,AGAINST,Ökologisch-Demokratische Partei
Udo,Bullmann,male,62.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Reinhard,Bütikofer,male,66.0,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Daniel,Caspary,male,42.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Michael,Cramer,male,69.0,Germany,Greens-EFA,NOT PRESENT,Bündnis 90/Die Grünen
Michael,Detjen,male,60.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Ismail,Ertug,male,43.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Michael,Gahler,male,58.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Evelyne,Gebhardt,male,65.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Stefan,Gehrold,male,53.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Jens,Geier,male,57.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Arne,Gericke,male,54.0,Germany,ECR,NOT PRESENT,Freie Wähler
Sven,Giegold,male,49.0,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Ingeborg,Grässle,male,58.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Thomas,Händel,male,65.0,Germany,GUE-NGL,AGAINST,DIE LINKE.
Rebecca,Harms,male,62.0,Germany,Greens-EFA,NOT PRESENT,Bündnis 90/Die Grünen
Martin,Häusling,male,58.0,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Hans-Olaf,Henkel,male,79.0,Germany,ECR,FOR,Liberal-Conservative Refomists
Nadja,Hirsch,male,40.0,Germany,ALDE,AGAINST,Freie Demokratische Partei
Iris,Hoffmann,male,55.0,Germany,S&D,NOT PRESENT,Sozialdemokratische Partei Deutschlands
Monika,Hohlmeier,male,56.0,Germany,EPP,FOR,Christlich-Soziale Union in Bayern e.V.
Peter,Jahr,male,59.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Petra,Kammerevert,male,52.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Sylvia-Yvonne,Kaufmann,male,64.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Wolf,Klinz,male,77.0,Germany,ALDE,NOT PRESENT,Freie Demokratische Partei
Dieter-Lebrecht,Koch,male,66.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Arndt,Kohn,male,38.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Bernd,Kölmel,male,60.0,Germany,ECR,FOR,Liberal-Conservative Refomists
Dietmar,Köster,male,62.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Werner,Kuhn,male,63.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Werner,Langen,male,69.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Jo,Leinen,male,70.0,Germany,S&D,ABSTAINED,Sozialdemokratische Partei Deutschlands
Sabine,Lösing,male,63.0,Germany,GUE-NGL,AGAINST,DIE LINKE.
Gesine,Meissner,male,67.0,Germany,ALDE,AGAINST,Freie Demokratische Partei
Susanne,Melior,male,60.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Jörg,Meuthen,male,57.0,Germany,EFDD,AGAINST,Alternative für Deutschland
Martina,Michels,male,63.0,Germany,GUE-NGL,AGAINST,DIE LINKE.
Ulrike,Müller,male,56.0,Germany,ALDE,AGAINST,Freie Wähler
Angelika,Niebler,male,56.0,Germany,EPP,FOR,Christlich-Soziale Union in Bayern e.V.
Maria,Noichl,male,52.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Markus,Pieper,male,55.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Marcus,Pretzell,male,45.0,Germany,ENF,AGAINST,Alternative for Deutschland
Gabriele,Preuss,male,64.0,Germany,S&D,AGAINST - CORRECTED,Sozialdemokratische Partei Deutschlands
Godelieve,Quisthoudt-Rowohl,male,71.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Dennis,Radtke,male,39.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Ulrike,Rodust,male,69.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Martin,Schirdewan,male,43.0,Germany,GUE-NGL,AGAINST,DIE LINKE.
Helmut,Scholz,male,64.0,Germany,GUE-NGL,AGAINST,DIE LINKE.
Andreas,Schwab,male,45.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Renate,Sommer,male,60.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Ulrike,Trebesius,male,48.0,Germany,ECR,AGAINST,Liberal-Conservative Refomists
Helga,Trüpel,male,60.0,Germany,Greens-EFA,FOR,Bündnis 90/Die Grünen
Axel,Voss,male,55.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Rainer,Wieland,male,62.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Hermann,Winkler,male,55.0,Germany,EPP,AGAINST,Christlich Demokratische Union Deutschlands
Babette,Winter,male,54.0,Germany,S&D,ABSTAINED,Sozialdemokratische Partei Deutschlands
Tiemo,Wölken,male,33.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Joachim,Zeller,male,66.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Gabriele,Zimmer,male,63.0,Germany,GUE-NGL,AGAINST,DIE LINKE.
Kostas,Chrysogonos,male,57.0,Greece,GUE-NGL,FOR,Coalition of the Radical Left
Georgios,Epitideios,male,66.0,Greece,Non-attached,AGAINST - CORRECTED,Popular Association – Golden Dawn
Manolis,Kefalogiannis,male,59.0,Greece,EPP,NOT PRESENT,Nea Demokratia
Stelios,Kouloglou,male,66.0,Greece,GUE-NGL,NOT PRESENT,Coalition of the Radical Left
Kostadinka,Kuneva,male,54.0,Greece,GUE-NGL,NOT PRESENT,Coalition of the Radical Left
Notis,Marias,male,61.0,Greece,ECR,NOT PRESENT,Greece-The Alternative Road
Konstantinos,Papadakis,male,43.0,Greece,Non-attached,ABSTAINED,Communist Party of Greece
Sofia,Sakorafa,male,61.0,Greece,GUE-NGL,AGAINST,Independent
Maria,Spyraki,male,53.0,Greece,EPP,FOR,Nea Demokratia
Elissavet,Vozemberg-Vrionidi,male,62.0,Greece,EPP,NOT PRESENT,Nea Demokratia
Theodoros,Zagorakis,male,47.0,Greece,EPP,NOT PRESENT,Nea Demokratia
Sotirios,Zarianopoulos,male,58.0,Greece,Non-attached,NOT PRESENT,Communist Party of Greece
Zoltán,Balczó,male,71.0,Hungary,Non-attached,AGAINST,Jobbik Magyarországért Mozgalom
Andrea,Bocskor,male,40.0,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Andor,Deli,male,41.0,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Norbert,Erdős,male,46.0,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Kinga,Gál,male,48.0,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
György,Hölvényi,male,56.0,Hungary,EPP,FOR,Kereszténydemokrata Néppárt 335
Lívia,Járóka,male,44.0,Hungary,EPP,NOT PRESENT,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Benedek,Jávor,male,46.0,Hungary,Greens-EFA,NOT PRESENT,Együtt 2014 - Párbeszéd Magyarországért
Ádám,Kósa,male,43.0,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Béla,Kovács,male,59.0,Hungary,Non-attached,NOT PRESENT,Jobbik Magyarországért Mozgalom
Krisztina,Morvai,male,55.0,Hungary,Non-attached,NOT PRESENT,Jobbik Magyarországért Mozgalom
György,Schöpflin,male,79.0,Hungary,EPP,NOT PRESENT,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
József,Szájer,male,57.0,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Tibor,Szanyi,male,62.0,Hungary,S&D,AGAINST,Magyar Szocialista Párt
István,Ujhelyi,male,44.0,Hungary,S&D,NOT PRESENT,Magyar Szocialista Párt
Lynn,Boylan,male,42.0,Ireland,GUE-NGL,AGAINST,Sinn Féin
Matt,Carthy,male,41.0,Ireland,GUE-NGL,AGAINST,Sinn Féin
Deirdre,Clune,male,59.0,Ireland,EPP,NOT PRESENT,Fine Gael Party
Brian,Crowley,male,55.0,Ireland,ECR,NOT PRESENT,Fianna Fáil Party
Marian,Harkin,male,65.0,Ireland,ALDE,FOR,Independent
Brian,Hayes,male,49.0,Ireland,EPP,FOR,Fine Gael Party
Seán,Kelly,male,66.0,Ireland,EPP,FOR,Fine Gael Party
Mairead,McGuinness,male,59.0,Ireland,EPP,FOR,Fine Gael Party
Liadh,Ní Riada,male,52.0,Ireland,GUE-NGL,NOT PRESENT,Sinn Féin
Marco,Affronte,male,53.0,Italy,Greens-EFA,AGAINST,Independent
Laura,Agea,male,41.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Daniela,Aiuto,male,41.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Tiziana,Beghin,male,48.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Brando,Benifei,male,33.0,Italy,S&D,AGAINST,Partito Democratico
Goffredo Maria,Bettini,male,66.0,Italy,S&D,FOR,Partito Democratico
Simona,Bonafè,male,45.0,Italy,S&D,FOR,Partito Democratico
Mercedes,Bresso,male,74.0,Italy,S&D,FOR,Partito Democratico
Renata,Briano,male,55.0,Italy,S&D,AGAINST,Partito Democratico
Fabio Massimo,Castaldo,male,33.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Lorenzo,Cesa,male,67.0,Italy,EPP,FOR,Unione di Centro
Alberto,Cirio,male,46.0,Italy,EPP,FOR,Forza Italia
Silvia,Costa,male,69.0,Italy,S&D,FOR,Partito Democratico
Andrea,Cozzolino,male,56.0,Italy,S&D,FOR,Partito Democratico
Paolo,De Castro,male,61.0,Italy,S&D,FOR,Partito Democratico
Isabella,De Monte,male,47.0,Italy,S&D,FOR,Partito Democratico
Giuseppe,Ferrandino,male,56.0,Italy,S&D,FOR,Partito Democratico
Laura,Ferrara,male,35.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Raffaele,Fitto,male,49.0,Italy,ECR,FOR,Conservatori e Riformisti
Elisabetta,Gardini,male,62.0,Italy,EPP,FOR,Forza Italia
Enrico,Gasbarra,male,56.0,Italy,S&D,FOR,Partito Democratico
Elena,Gentile,male,65.0,Italy,S&D,FOR,Partito Democratico
Michela,Giuffrida,male,55.0,Italy,S&D,FOR,Partito Democratico
Cécile Kashetu,Kyenge,male,54.0,Italy,S&D,FOR,Partito Democratico
Danilo Oscar,Lancini,male,53.0,Italy,ENF,NOT PRESENT,Lega Nord
Curzio,Maltese,male,59.0,Italy,GUE-NGL,NOT PRESENT,Lista Tsipras-L'Altra Europa
Fulvio,Martusciello,male,50.0,Italy,EPP,FOR,Forza Italia
Stefano,Maullu,male,57.0,Italy,ECR,FOR,Forza Italia
Luigi,Morgano,male,68.0,Italy,S&D,FOR,Partito Democratico
Alessandra,Mussolini,male,56.0,Italy,EPP,FOR,Forza Italia
Aldo,Patriciello,male,61.0,Italy,EPP,NOT PRESENT,Forza Italia
Massimiliano,Salini,male,46.0,Italy,EPP,FOR,Forza Italia
Elly,Schlein,male,33.0,Italy,S&D,AGAINST,Independent
Giancarlo,Scottà,male,65.0,Italy,ENF,AGAINST,Lega Nord
Remo,Sernagiotto,male,63.0,Italy,ECR,FOR,Conservatori e Riformisti
Renato,Soru,male,61.0,Italy,S&D,NOT PRESENT,Partito Democratico
Barbara,Spinelli,male,72.0,Italy,GUE-NGL,AGAINST,Independent
Dario,Tamburrano,male,49.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Marco,Valli,male,33.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Flavio,Zanonato,male,68.0,Italy,S&D,FOR,Articolo UNO – Movimento Democratico e Progressista
Damiano,Zoffoli,male,58.0,Italy,S&D,FOR,Partito Democratico
Marco,Zullo,male,40.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Iveta,Grigule-Pēterse,male,54.0,Latvia,ALDE,FOR,Zaļo un Zemnieku savienība
Aleksejs,Loskutovs,male,56.0,Latvia,EPP,FOR - CORRECTED,Partija VIENOTĪBA
Andrejs,Mamikins,male,43.0,Latvia,S&D,AGAINST,Saskaņa - Sociāldemokrātiskā partija
Kārlis,Šadurskis ,male,59.0,Latvia,EPP,FOR,Partija VIENOTĪBA
Inese,Vaidere,male,66.0,Latvia,EPP,FOR,Partija VIENOTĪBA
Roberts,Zīle,male,60.0,Latvia,ECR,FOR,Nacionālā apvienība Visu Latvijai! - Tēvzemei un Brīvībai/LNNK
Petras,Auštrevičius,male,55.0,Lithuania,ALDE,NOT PRESENT,Lietuvos Respublikos Liberalų Sąjūdis
Zigmantas,Balčytis,male,65.0,Lithuania,S&D,NOT PRESENT,Lietuvos socialdemokratų partija
Antanas,Guoga,male,45.0,Lithuania,EPP,AGAINST - CORRECTED,Independent
Valentinas,Mazuronis,male,65.0,Lithuania,ALDE,FOR,Darbo partija
Rolandas,Paksas,male,62.0,Lithuania,EFDD,FOR,Partija Tvarka ir teisingumas
Bronis,Ropė,male,63.0,Lithuania,Greens-EFA,AGAINST,Lietuvos valstiečių ir žaliųjų sąjunga
Algirdas,Saudargas,male,70.0,Lithuania,EPP,FOR,Tėvynės sąjunga-Lietuvos krikščionys demokratai
Valdemar,Tomaševski,male,54.0,Lithuania,ECR,NOT PRESENT,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga
Mady,Delvaux,male,68.0,Luxembourg,S&D,AGAINST,Parti ouvrier socialiste luxembourgeois
Frank,Engel,male,43.0,Luxembourg,EPP,AGAINST,Parti chrétien social luxembourgeois
Charles,Goerens,male,67.0,Luxembourg,ALDE,AGAINST,Parti démocratique
Christophe,Hansen,male,37.0,Luxembourg,EPP,AGAINST,Parti chrétien social luxembourgeois
David,Casa,male,50.0,Malta,EPP,AGAINST,Partit Nazzjonalista
Roberta,Metsola,male,40.0,Malta,EPP,AGAINST,Partit Nazzjonalista
Marlene,Mizzi,male,64.0,Malta,S&D,FOR,Partit Laburista
Francis,Zammit Dimech,male,64.0,Malta,EPP,FOR,Partit Nazzjonalista
Bas,Belder,male,72.0,Netherlands,ECR,AGAINST,Staatkundig Gereformeerde Partij
Marcel,de Graaff,male,56.0,Netherlands,ENF,NOT PRESENT,Partij voor de Vrijheid
Dennis,de Jong,male,63.0,Netherlands,GUE-NGL,ABSTAINED,Socialistische Partij
Esther,de Lange,male,44.0,Netherlands,EPP,FOR,Christen Democratisch Appèl
Bas,Eickhout,male,42.0,Netherlands,Greens-EFA,AGAINST,GroenLinks
André,Elissen,male,59.0,Netherlands,ENF,AGAINST,Partij voor de Vrijheid
Gerben-Jan,Gerbrandy,male,51.0,Netherlands,ALDE,AGAINST,Democraten 66
Jan,Huitema,male,34.0,Netherlands,ALDE,AGAINST,Volkspartij voor Vrijheid en Democratie
Sophie,in 't Veld,male,55.0,Netherlands,ALDE,AGAINST,Democraten 66
Agnes,Jongerius,male,58.0,Netherlands,S&D,AGAINST,Partij van de Arbeid
Anne-Marie,Mineur,male,51.0,Netherlands,GUE-NGL,ABSTAINED,Socialistische Partij
Marietje,Schaake,male,40.0,Netherlands,ALDE,AGAINST,Democraten 66
Annie,Schreijer-Pierik,male,66.0,Netherlands,EPP,FOR,Christen Democratisch Appèl
Olaf,Stuger,male,49.0,Netherlands,ENF,AGAINST,Partij voor de Vrijheid
Paul,Tang,male,51.0,Netherlands,S&D,AGAINST,Partij van de Arbeid
Johannes Cornelis,van Baalen,male,58.0,Netherlands,ALDE,AGAINST - CORRECTED,Volkspartij voor Vrijheid en Democratie
Wim,van de Camp,male,65.0,Netherlands,EPP,FOR,Christen Democratisch Appèl
Matthijs,van Miltenburg,male,46.0,Netherlands,ALDE,AGAINST,Democraten 66
Lambert,van Nistelrooij,male,66.0,Netherlands,EPP,FOR,Christen Democratisch Appèl
Michał,Boni,male,64.0,Poland,EPP,AGAINST,Platforma Obywatelska
Edward,Czesak,male,68.0,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Czesław,Hoc,male,65.0,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Danuta Maria,Hübner,male,70.0,Poland,EPP,FOR,Platforma Obywatelska
Robert Jarosław,Iwaszkiewicz,male,56.0,Poland,EFDD,AGAINST,KORWiN
Danuta,Jazłowiecka,male,61.0,Poland,EPP,FOR - CORRECTED,Platforma Obywatelska
Marek,Jurek,male,58.0,Poland,ECR,AGAINST,Prawica Rzeczypospolitej
Jarosław,Kalinowski,male,56.0,Poland,EPP,AGAINST,Polskie Stronnictwo Ludowe
Karol,Karski,male,52.0,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Sławomir,Kłosowski,male,55.0,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Agnieszka,Kozłowska-Rajewicz,male,49.0,Poland,EPP,FOR,Platforma Obywatelska
