First Name,Last Name,Country,Jurisdiction,Political Group,"26 March 2019
Final Vote","26 March 2019
Procedural Vote","Pledge
2019","Sept 18 Vote
DELETE","Sept 18 Vote
IMCO","Sept 18 Vote
VOSS","Sept 18 Vote
REPORT","June 18 Vote
Negotiations",National Political Group,National Political Group (Short),Email,Twitter,EP Webpage,
Bart,Staes,Belgium,Nederlands Kiescollege,Greens/EFA,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Groen,Groen,bart.staes@europarl.europa.eu,BartStaes,http://www.europarl.europa.eu/meps/en/4751/_home.html,
Helga,Stevens,Belgium,Nederlands Kiescollege,ECR,AGAINST,FOR,-,AGAINST,AGAINST,FOR,AGAINST,AGAINST,Nieuw-Vlaamse Alliantie,NVA,helga.stevens@europarl.europa.eu,StevensHelga,http://www.europarl.europa.eu/meps/en/125105/_home.html,
Marc,Tarabella,Belgium,Collège électoral français,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti Socialiste,PS,marc.tarabella@europarl.europa.eu,marctarabella,http://www.europarl.europa.eu/meps/en/29579/_home.html,
Anneleen,Van Bossuyt,Belgium,Nederlands Kiescollege,ECR,AGAINST,FOR,-,AGAINST,AGAINST,FOR,AGAINST,AGAINST,Nieuw-Vlaamse Alliantie,NVA,anneleen.vanbossuyt@europarl.europa.eu,anneleen_vb,http://www.europarl.europa.eu/meps/en/117491/_home.html,
Kathleen,Van Brempt,Belgium,Nederlands Kiescollege,S&D,FOR,AGAINST,-,AGAINST,ABSTAINED,AGAINST,FOR,AGAINST,Socialistische Partij.Anders,SP.A,kathleen.vanbrempt@europarl.europa.eu,kvanbrempt,http://www.europarl.europa.eu/meps/en/5729/_home.html,
Tom,Vandenkendelaere,Belgium,Nederlands Kiescollege,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Christen-Democratisch & Vlaams,CD&V,tom.vandenkendelaere@europarl.europa.eu,tomvdkendelaere,http://www.europarl.europa.eu/meps/en/129164/_home.html,
Hilde,Vautmans,Belgium,Nederlands Kiescollege,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,AGAINST,FOR,AGAINST,Open Vlaamse Liberalen en Democraten,Open VLD,hilde.vautmans@europarl.europa.eu,hildevautmans,http://www.europarl.europa.eu/meps/en/130100/_home.html,
Guy,Verhofstadt,Belgium,Nederlands Kiescollege,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,ABSTAINED,FOR,FOR,Open Vlaamse Liberalen en Democraten,Open VLD,guy.verhofstadt@europarl.europa.eu,GuyVerhofstadt,http://www.europarl.europa.eu/meps/en/97058/_home.html,
Lieve,Wierinck,Belgium,Nederlands Kiescollege,ALDE,FOR,AGAINST,-,AGAINST,FOR,AGAINST,FOR,AGAINST,Open Vlaamse Liberalen en Democraten,Open VLD,lieve.wierinck@europarl.europa.eu,lievewierinck,http://www.europarl.europa.eu/meps/en/183022/_home.html,
Asim,Ademov,Bulgaria,-,EPP,FOR,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Citizens for European Development of Bulgaria,ГЕРБ,asim.ademov@ep.europa.eu,ademovasim,http://www.europarl.europa.eu/meps/en/189525/_home.html,
Nedzhmi,Ali,Bulgaria,-,ALDE,FOR,AGAINST,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,FOR,Movement for Rights and Freedoms,ДПС,nedzhmi.ali@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/34250/_home.html,
Nikolay,Barekov,Bulgaria,-,ECR,ABSTAINED,FOR,-,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,Reload Bulgaria Party,Презареди България,nikolay.barekov@europarl.europa.eu,nbarekov,http://www.europarl.europa.eu/meps/en/124871/_home.html,
Angel,Dzhambazki,Bulgaria,-,ECR,AGAINST,FOR,-,FOR,AGAINST,AGAINST,AGAINST,FOR,VMRO,ВМРО–БНД,angel.dzhambazki@europarl.europa.eu,djambazki,http://www.europarl.europa.eu/meps/en/124873/_home.html,
Filiz,Hyusmenova,Bulgaria,-,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,AGAINST,FOR,FOR,Movement for Rights and Freedoms,ДПС,filiz.hyusmenova@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/34249/_home.html,
Peter,Kouroumbashev,Bulgaria,-,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,VMRO,ВМРО–БНД,peter.kouroumbashev@europarl.europa.eu,pkouroumbashev,http://www.europarl.europa.eu/meps/en/124857/_home.html,
Andrey,Kovatchev,Bulgaria,-,EPP,ABSTAINED,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Citizens for European Development of Bulgaria,ГЕРБ,andrey.kovatchev@europarl.europa.eu,andreykovatchev,http://www.europarl.europa.eu/meps/en/97968/_home.html,
Ilhan,Kyuchyuk,Bulgaria,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,AGAINST,Movement for Rights and Freedoms,ДПС,ilhan.kyuchyuk@europarl.europa.eu,ilhankyuchyuk,http://www.europarl.europa.eu/meps/en/124866/_home.html,
Svetoslav Hristov,Malinov,Bulgaria,-,EPP,AGAINST - CORRECTED,FOR,-,AGAINST,FOR,AGAINST,FOR,AGAINST,Democrats for Strong Bulgaria,ДСБ,svetoslav.malinov@europarl.europa.eu,SvMalinov,http://www.europarl.europa.eu/meps/en/111027/_home.html,
Eva,Maydell,Bulgaria,-,EPP,ABSTAINED,FOR,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Citizens for European Development of Bulgaria,ГЕРБ,eva.maydell@europarl.europa.eu,EvaMaydell,http://www.europarl.europa.eu/meps/en/98341/_home.html,
Iskra,Mihaylova,Bulgaria,-,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,AGAINST,FOR,NOT PRESENT,Movement for Rights and Freedoms,ДПС,iskra.mihaylova@europarl.europa.eu,iskra_mihaylova,http://www.europarl.europa.eu/meps/en/125128/_home.html,
Momchil,Nekov,Bulgaria,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Bulgarian Socialist Party,БСП,momchil.nekov@europarl.europa.eu,momchilnekov,http://www.europarl.europa.eu/meps/en/125013/_home.html,
Andrey,Novakov,Bulgaria,-,EPP,FOR - CORRECTED,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Citizens for European Development of Bulgaria,ГЕРБ,andrey.novakov@europarl.europa.eu,andreynovakov,http://www.europarl.europa.eu/meps/en/107212/_home.html,
Georgi,Pirinski,Bulgaria,-,S&D,FOR,FOR,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,AGAINST,Bulgarian Socialist Party,БСП,georgi.pirinski@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124855/_home.html,
Emil,Radev,Bulgaria,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,NOT PRESENT,FOR,NOT PRESENT,Citizens for European Development of Bulgaria,ГЕРБ,emil.radev@europarl.europa.eu,emil_radev,http://www.europarl.europa.eu/meps/en/124850/_home.html,
Sergei,Stanishev,Bulgaria,-,S&D,AGAINST - CORRECTED,NOT PRESENT,-,AGAINST,FOR,AGAINST,AGAINST,NOT PRESENT,Bulgarian Socialist Party,БСП,sergei.stanishev@europarl.europa.eu,SergeiStanishev,http://www.europarl.europa.eu/meps/en/124852/_home.html,
Vladimir,Urutchev,Bulgaria,-,EPP,ABSTAINED,FOR,-,AGAINST,AGAINST,FOR,FOR,FOR,Citizens for European Development of Bulgaria,ГЕРБ,vladimir.urutchev@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/38601/_home.html,
Biljana,Borzan,Croatia,-,S&D,AGAINST - CORRECTED,FOR,-,AGAINST,AGAINST,AGAINST,ABSTAINED,AGAINST,Socijaldemokratska partija Hrvatske,SDP,biljana.borzan@europarl.europa.eu,BiljanaBorzan,http://www.europarl.europa.eu/meps/en/112748/_home.html,
Ivan,Jakovčić,Croatia,-,ALDE,FOR,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Istarski demokratski sabor - Dieta democratica istriana,IDS-DDI,ivan.jakovcic@europarl.europa.eu,ivanjakovcic,http://www.europarl.europa.eu/meps/en/124754/_home.html,
Ivana,Maletić,Croatia,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Hrvatska demokratska zajednica,HDZ,ivana.maletic@europarl.europa.eu,MaleticIvana,http://www.europarl.europa.eu/meps/en/119436/_home.html,
Marijana,Petir,Croatia,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Independent,Independent,marijana.petir@europarl.europa.eu,marijana_petir,http://www.europarl.europa.eu/meps/en/124749/_home.html,
Tonino,Picula,Croatia,-,S&D,AGAINST,FOR,-,AGAINST,AGAINST,AGAINST,ABSTAINED,AGAINST,Socijaldemokratska partija Hrvatske,SDP,tonino.picula@europarl.europa.eu,TPicula,http://www.europarl.europa.eu/meps/en/112744/_home.html,
Jozo,Radoš,Croatia,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Građansko Liberalni Savez,GLAS,jozo.rados@europarl.europa.eu,jozorados,http://www.europarl.europa.eu/meps/en/112753/_home.html,
Davor,Škrlec,Croatia,-,Greens/EFA,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Independent,Independent,davor.skrlec@europarl.europa.eu,DavorSkrlec,http://www.europarl.europa.eu/meps/en/124756/_home.html,
Dubravka,Šuica,Croatia,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Hrvatska demokratska zajednica,HDZ,dubravka.suica@europarl.europa.eu,dubravkasuica,http://www.europarl.europa.eu/meps/en/119434/_home.html,
Ivica,Tolić,Croatia,-,EPP,NOT PRESENT,NOT PRESENT,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,FOR,Hrvatska demokratska zajednica,HDZ,ivica.tolic@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/185340/_home.html,
Ruža,Tomašić,Croatia,-,ECR,ABSTAINED,FOR,-,AGAINST,AGAINST,ABSTAINED,ABSTAINED,AGAINST,Hrvatska konzervativna stranka,HKS,ruza.tomasic@europarl.europa.eu,ruzatomasic,http://www.europarl.europa.eu/meps/en/119431/_home.html,
Željana,Zovko,Croatia,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Hrvatska demokratska zajednica,HDZ,zeljana.zovko@europarl.europa.eu,ZovkoEU,http://www.europarl.europa.eu/meps/en/185341/_home.html,
Lefteris,Christoforou,Cyprus,-,EPP,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Democratic Rally,ΔΗΣΥ/DISY,lefteris.christoforou@europarl.europa.eu,LefChristoforou,http://www.europarl.europa.eu/meps/en/26837/_home.html,
Takis,Hadjigeorgiou,Cyprus,-,GUE/NGL,AGAINST,FOR,-,FOR,FOR,AGAINST,ABSTAINED,ABSTAINED,Progressive Party of Working People - Left - New Forces,ΑΚΕΛ/AKEL,takis.hadjigeorgiou@europarl.europa.eu,thadjigeorgiou,http://www.europarl.europa.eu/meps/en/96907/_home.html,
Costas,Mavrides,Cyprus,-,S&D,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Democratic Party,ΔΗΚΟ/DIKO,costas.mavrides@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124691/_home.html,
Demetris,Papadakis,Cyprus,-,S&D,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Movement for Social Democracy EDEK,ΕΔΕΚ/EDEK,demetris.papadakis@europarl.europa.eu,DemPapadakis,http://www.europarl.europa.eu/meps/en/124692/_home.html,
Neoklis,Sylikiotis,Cyprus,-,GUE/NGL,NOT PRESENT,NOT PRESENT,-,FOR,FOR,AGAINST,ABSTAINED,AGAINST,Progressive Party of Working People - Left - New Forces,ΑΚΕΛ/AKEL,neoklis.sylikiotis@europarl.europa.eu,sylikiotis,http://www.europarl.europa.eu/meps/en/124689/_home.html,
Eleni,Theocharous,Cyprus,-,ECR,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Independent,Independent,eleni.theocharous@europarl.europa.eu,THEOCHAROUSE,http://www.europarl.europa.eu/meps/en/25704/_home.html,
Dita,Charanzová,Czech Republic,-,ALDE,ABSTAINED,FOR - CORRECTED,-,AGAINST,FOR,AGAINST,ABSTAINED,ABSTAINED,ANO 2011,ANO,dita.charanzova@europarl.europa.eu,charanzova,http://www.europarl.europa.eu/meps/en/124708/_home.html,
Martina,Dlabajová,Czech Republic,-,ALDE,ABSTAINED,FOR - CORRECTED,-,AGAINST,FOR,AGAINST,ABSTAINED,ABSTAINED,ANO 2011,ANO,martina.dlabajova@europarl.europa.eu,Mdlabajova,http://www.europarl.europa.eu/meps/en/124709/_home.html,
Petr,Ježek,Czech Republic,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,ABSTAINED,AGAINST,ANO 2011,ANO,petr.jezek@europarl.europa.eu,JezekCZ,http://www.europarl.europa.eu/meps/en/124707/_home.html,
Jan,Keller,Czech Republic,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,NOT PRESENT,Česká strana sociálně demokratická,ČSSD,jan.keller@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124695/_home.html,
Jaromír,Kohlíček,Czech Republic,-,GUE/NGL,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,Komunistická strana Čech a Moravy,KSČM,jaromir.kohlicek@ep.europa.eu,kohlicekjaromir,http://www.europarl.europa.eu/meps/en/28331/_home.html,
Kateřina,Konečná,Czech Republic,-,GUE/NGL,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Komunistická strana Čech a Moravy,KSČM,katerina.konecna@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/23699/_home.html,
Jiří,Maštálka,Czech Republic,-,GUE/NGL,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,Komunistická strana Čech a Moravy,KSČM,jiri.mastalka@europarl.europa.eu,jirimastalka,http://www.europarl.europa.eu/meps/en/23704/_home.html,
Luděk,Niedermayer,Czech Republic,-,EPP,ABSTAINED,FOR,-,AGAINST,ABSTAINED,FOR,FOR,ABSTAINED,TOP 09 a Starostové,TOP 09,ludek.niedermayer@europarl.europa.eu,ludeknie,http://www.europarl.europa.eu/meps/en/124701/_home.html,
Jiří,Payne,Czech Republic,-,EFDD,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Strana svobodných občanů,Svobodní,jiri.payne@ep.europa.eu,JTP07,http://www.europarl.europa.eu/meps/en/189507/_home.html,
Pavel,Poc,Czech Republic,-,S&D,NOT PRESENT,NOT PRESENT,-,AGAINST,FOR,AGAINST,FOR,ABSTAINED,Česká strana sociálně demokratická,ČSSD,pavel.poc@europarl.europa.eu,pavelpoc,http://www.europarl.europa.eu/meps/en/96715/_home.html,
Miroslav,Poche,Czech Republic,-,S&D,ABSTAINED,FOR,-,AGAINST,FOR,AGAINST,FOR,NOT PRESENT,Česká strana sociálně demokratická,ČSSD,miroslav.poche@europarl.europa.eu,pochemep,http://www.europarl.europa.eu/meps/en/124699/_home.html,
Stanislav,Polčák,Czech Republic,-,EPP,ABSTAINED,FOR,-,ABSTAINED,FOR,ABSTAINED,FOR,FOR,Starostové a nezávisli,STAN,stanislav.polcak@europarl.europa.eu,stanislavpolcak,http://www.europarl.europa.eu/meps/en/124704/_home.html,
Jiří,Pospíšil,Czech Republic,-,EPP,AGAINST,FOR,-,ABSTAINED,FOR,ABSTAINED,FOR,ABSTAINED,TOP 09 a Starostové,TOP 09,jiri.pospisil@europarl.europa.eu,Pospisil_Jiri,http://www.europarl.europa.eu/meps/en/125706/_home.html,
Olga,Sehnalová,Czech Republic,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Česká strana sociálně demokratická,ČSSD,olga.sehnalova@europarl.europa.eu,OlgaSehnalova,http://www.europarl.europa.eu/meps/en/96718/_home.html,
Michaela,Šojdrová,Czech Republic,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Křesťanská a demokratická unie - Československá strana lidová,KDU-ČSL,michaela.sojdrova@europarl.europa.eu,msojdrova,http://www.europarl.europa.eu/meps/en/124710/_home.html,
Jaromír,Štětina,Czech Republic,-,EPP,NOT PRESENT,FOR,-,FOR,FOR,AGAINST,AGAINST,ABSTAINED,TOP 09 a Starostové,TOP 09,jaromir.stetina@europarl.europa.eu,StetinaEP,http://www.europarl.europa.eu/meps/en/124702/_home.html,
Pavel,Svoboda,Czech Republic,-,EPP,FOR,AGAINST,-,AGAINST,ABSTAINED,AGAINST,FOR,ABSTAINED,Křesťanská a demokratická unie - Československá strana lidová,KDU-ČSL,pavel.svoboda@europarl.europa.eu,1PavelSvoboda,http://www.europarl.europa.eu/meps/en/96272/_home.html,
Pavel,Telička,Czech Republic,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,ABSTAINED,AGAINST,ANO 2011,ANO,pavel.telicka@europarl.europa.eu,Telicka,http://www.europarl.europa.eu/meps/en/124706/_home.html,
Evžen,Tošenovský,Czech Republic,-,ECR,AGAINST,FOR,-,AGAINST,ABSTAINED,FOR,FOR,ABSTAINED,Občanská demokratická strana,ODS,evzen.tosenovsky@europarl.europa.eu,evzentosenovsky,http://www.europarl.europa.eu/meps/en/96713/_home.html,
Jan,Zahradil,Czech Republic,-,ECR,AGAINST,FOR,-,AGAINST,ABSTAINED,FOR,FOR,NOT PRESENT,Občanská demokratická strana,ODS,jan.zahradil@europarl.europa.eu,ZahradilJan,http://www.europarl.europa.eu/meps/en/23712/_home.html,
Tomáš,Zdechovský,Czech Republic,-,EPP,AGAINST,FOR,YES,AGAINST,AGAINST,FOR,FOR,AGAINST,Křesťanská a demokratická unie - Československá strana lidová,KDU-ČSL,tomas.zdechovsky@europarl.europa.eu,TomZdechovsky,http://www.europarl.europa.eu/meps/en/124713/_home.html,
Margrete,Auken,Denmark,-,Greens/EFA,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Socialistisk Folkeparti,SF,margrete.auken@europarl.europa.eu,MargreteAuken,http://www.europarl.europa.eu/meps/en/28161/_home.html,
Bendt,Bendtsen,Denmark,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Det Konservative Folkeparti,DKF,bendt.bendtsen@europarl.europa.eu,BendtEU,http://www.europarl.europa.eu/meps/en/96705/_home.html,
Ole,Christensen,Denmark,-,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Socialdemokratiet,Socialdemokratiet ,ole.christensen@europarl.europa.eu,OleEU,http://www.europarl.europa.eu/meps/en/28154/_home.html,
